plot	location	block	composition	species.richness	functional.richness	legumes	cotton3	wood3
L3P005	3	1	58	4	2	No	0.470680122	0.098377
L3P006	3	1	59	8	3	Yes	0.546838443	0.053589
L3P007	3	1	60	4	2	Yes	0.440332091	0.059325
L3P008	3	1	6	1	1	Yes	0.715033032	0.080171
L3P009	3	1	61	8	1	No	0.38549953	0.06063
L3P010	3	1	62	2	2	Yes	0.840636298	0.091193
L3P011	3	1	2	1	1	No	0.632548191	0.073722
L3P012	3	1	63	2	1	No	0.544101661	0.049548
L3P013	3	1	7	1	1	Yes	0.829255058	NA
L3P014	3	1	64	2	2	No	0.671263332	0.104897
L3P015	3	1	65	4	2	No	0.393667784	0.067058
L3P016	3	1	66	4	1	No	0.671985053	0.057616
L3P017	3	1	67	2	2	No	0.473762836	0.06027
L3P018	3	1	68	8	2	No	0.426611747	0.084056
L3P019	3	1	69	32	3	Yes	0.47393532	0.036577
L3P020	3	1	70	2	1	No	0.512309829	0.053086
L3P021	3	1	71	8	3	Yes	0.533064465	0.115185
L3P022	3	1	72	2	2	Yes	0.455132369	0.057321
L3P023	3	1	73	4	3	Yes	0.710118411	0.08381
L3P024	3	1	74	1	1	No	0.413509697	0.086434
L3P025	3	1	75	2	1	No	0.602319914	0.119063
L3P026	3	1	76	1	1	No	0.643615105	0.084537
L3P027	3	1	77	32	3	Yes	0.751058934	0.123405
L3P028	3	1	78	1	1	No	0.625272029	0.021929
L3P029	3	1	79	4	2	Yes	0.470742072	0.114553
L3P030	3	1	80	8	2	Yes	0.483317159	0.040278
L3P031	3	1	3	1	1	No	0.57822357	0.065737
L3P032	3	1	81	1	1	No	0.6004306	0.138002
L3P033	3	2	79	4	2	Yes	1.075557876	0.047214
L3P034	3	2	69	32	3	Yes	1.039598365	NA
L3P035	3	2	56	4	1	No	0.913595577	0.054791
L3P036	3	2	2	1	1	No	0.858760972	0.098644
L3P037	3	2	81	1	1	No	0.394593789	0.081336
L3P038	3	2	7	1	1	Yes	0.865947454	0.075384
L3P039	3	2	71	8	3	Yes	0.652901881	0.061542
L3P040	3	2	62	2	2	Yes	1.005900563	0.095915
L3P041	3	2	64	2	2	No	0.93315273	0.069222
L3P042	3	2	9	1	1	No	0.687459742	0.077714
L3P043	3	2	55	1	1	No	0.579952396	0.051659
L3P044	3	2	60	4	2	Yes	0.780381118	0.044684
L3P045	3	2	6	1	1	Yes	0.699527822	NA
L3P046	3	2	67	2	2	No	0.714189269	0.116078
L3P047	3	2	63	2	1	No	0.567383833	0.098178
L3P048	3	2	59	8	3	Yes	0.793841032	0.063338
L3P049	3	2	3	1	1	No	0.67950039	0.053347
L3P050	3	2	65	4	2	No	0.585746467	0.040418
L3P051	3	2	57	4	3	Yes	0.642887435	0.141141
L3P052	3	2	70	2	1	No	0.682990702	0.058156
L3P053	3	2	76	1	1	No	0.974772777	0.089738
L3P054	3	2	66	4	1	No	0.737161027	0.038578
L3P055	3	2	80	8	2	Yes	0.887459499	0.108497
L3P056	3	2	73	4	3	Yes	1.03676969	0.037327
L3P057	3	2	75	2	1	No	0.570597988	0.101592
L3P058	3	2	78	1	1	No	0.515585588	0.063906
L3P059	3	2	61	8	1	No	0.581633326	0.052014
L3P060	3	2	77	32	3	Yes	0.802655944	0.046058
L3P061	3	2	74	1	1	No	0.467901327	0.063215
L3P062	3	2	58	4	2	No	0.644635041	0.131411
L3P063	3	2	68	8	2	No	0.741830695	0.070567
L3P064	3	2	72	2	2	Yes	0.754856145	0.080556
M4P001	4	1	93	2	2	Yes	0.948123483	0.093741
M4P002	4	1	102	8	3	Yes	1.177671483	0.050373
M4P003	4	1	82	1	1	No	0.728692136	0.10057
M4P004	4	1	88	1	1	Yes	0.605257071	0.034769
M4P005	4	1	95	4	2	No	0.991896851	0.056515
M4P006	4	1	97	4	3	Yes	1.134231068	0.137255
M4P009	4	1	105	18	3	Yes	1.35634704	0.055231
M4P010	4	1	89	2	2	Yes	0.781926615	0.085831
M4P011	4	1	91	2	2	No	0.786313051	0.047429
M4P012	4	1	106	18	3	Yes	1.348977201	0.023968
M4P014	4	1	85	1	1	No	0.614336135	0.01656
M4P015	4	1	84	1	1	No	0.591570811	0.085477
M4P016	4	1	98	4	2	No	1.005599725	0.049559
M4P017	4	1	94	2	1	No	0.793392544	0.021778
M4P018	4	1	99	4	3	Yes	0.969159647	0.032182
M4P019	4	1	100	8	3	Yes	1.081913245	0.026334
M4P020	4	1	92	2	2	No	0.754932101	0.019078
M4P021	4	1	87	1	1	No	0.576781718	0.091636
M4P022	4	1	104	18	3	Yes	1.331490462	0.11199
M4P023	4	1	96	4	2	Yes	0.956659573	0.025277
M4P024	4	1	101	8	3	Yes	1.028095931	0.082282
M4P026	4	1	107	18	3	Yes	1.316827214	0.113175
M4P027	4	1	90	2	2	Yes	0.79919979	0.031358
M4P028	4	1	83	1	1	No	0.59153267	0.014014
M4P029	4	1	103	8	3	Yes	1.168938656	0.045303
M4P030	4	1	86	1	1	No	0.592844792	0.043729
M4P031	4	2	84	1	1	No	0.63274079	0.054353
M4P032	4	2	107	18	3	Yes	1.301376313	0.022662
M4P033	4	2	90	2	2	Yes	0.778806192	0.056144
M4P034	4	2	89	2	2	Yes	0.730341758	0.092882
M4P035	4	2	99	4	3	Yes	0.954576477	0.040386
M4P036	4	2	94	2	1	No	0.742377114	0.028342
M4P037	4	2	91	2	2	No	0.775106884	0.06248
M4P038	4	2	105	18	3	Yes	1.329050237	0.128011
M4P039	4	2	86	1	1	No	0.559224432	0.047231
M4P041	4	2	103	8	3	Yes	1.00063099	0.043308
M4P042	4	2	97	4	3	Yes	1.003748928	0.031982
M4P043	4	2	83	1	1	No	0.564986638	0.02993
M4P044	4	2	101	8	3	Yes	1.035693756	0.03521
M4P045	4	2	96	4	2	Yes	0.933068981	0.032207
M4P046	4	2	104	18	3	Yes	1.281534689	0.02043
M4P047	4	2	88	1	1	Yes	0.555038598	0.023382
M4P048	4	2	93	2	2	Yes	0.756657072	0.041558
M4P049	4	2	87	1	1	No	0.592268568	0.019845
M4P050	4	2	82	1	1	No	0.669582008	0.018676
M4P051	4	2	102	8	3	Yes	1.06499663	0.109575
M4P052	4	2	85	1	1	No	0.571632113	0.044394
M4P053	4	2	95	4	2	No	0.935043112	0.036107
M4P054	4	2	106	18	3	Yes	1.286924507	0.069003
M4P056	4	2	92	2	2	No	0.817135156	0.055699
M4P058	4	2	100	8	3	Yes	1.026843253	0.055959
M4P060	4	2	98	4	2	No	0.949068247	0.057982
R5P003	5	1	108	1	1	No	0.457894411	NA
R5P004	5	1	117	2	2	Yes	0.578067602	NA
R5P005	5	1	5	1	1	No	0.51504681	NA
R5P006	5	1	127	4	3	Yes	0.615520341	NA
R5P007	5	1	131	4	2	Yes	0.672861055	NA
R5P008	5	1	118	2	2	No	0.504377786	NA
R5P009	5	1	135	8	2	No	0.583977654	NA
R5P010	5	1	7	1	1	Yes	0.681530249	NA
R5P011	5	1	112	1	1	No	0.625791814	NA
R5P012	5	1	120	2	2	Yes	0.636345366	NA
R5P013	5	1	113	1	1	No	0.585641844	NA
R5P014	5	1	130	4	2	No	0.531343924	NA
R5P015	5	1	124	4	1	No	0.519679274	NA
R5P016	5	1	116	2	2	Yes	0.670517734	NA
R5P017	5	1	1	1	1	No	0.692901724	NA
R5P018	5	1	119	2	2	No	0.665455423	NA
R5P019	5	1	126	4	2	Yes	0.584300066	NA
R5P020	5	1	110	1	1	Yes	0.668287809	NA
R5P021	5	1	136	8	2	Yes	0.528004389	NA
R5P022	5	1	132	4	2	Yes	0.665402414	NA
R5P023	5	1	114	2	1	No	0.569698885	NA
R5P024	5	1	121	2	2	Yes	0.691044404	NA
R5P025	5	1	109	1	1	No	0.552467811	NA
R5P026	5	1	111	1	1	No	0.694276858	NA
R5P027	5	1	9	1	1	No	0.599473378	NA
R5P028	5	1	133	8	3	Yes	0.590168918	NA
R5P029	5	1	135	8	2	No	0.634559452	NA
R5P030	5	1	134	8	3	Yes	0.650430412	NA
R5P031	5	1	128	4	3	Yes	0.592469348	NA
R5P032	5	1	115	2	1	No	0.415092131	NA
R5P033	5	1	122	3	3	Yes	0.536711035	NA
R5P035	5	1	125	4	2	Yes	0.532890147	NA
R5P036	5	1	129	4	2	No	0.652611582	NA
R5P037	5	1	123	3	3	Yes	0.544707406	NA
R5P038	5	1	124	4	1	No	0.587939951	NA
R5P041	5	2	1	1	1	No	0.611692148	NA
R5P042	5	2	125	4	2	Yes	0.589418857	NA
R5P043	5	2	111	1	1	No	0.65400895	NA
R5P044	5	2	122	3	3	Yes	0.469402616	NA
R5P045	5	2	135	8	2	No	0.480020593	NA
R5P046	5	2	132	4	2	Yes	0.701082454	NA
R5P047	5	2	131	4	2	Yes	0.630706086	NA
R5P048	5	2	114	2	1	No	0.517982163	NA
R5P049	5	2	119	2	2	No	0.636912457	NA
R5P050	5	2	123	3	3	Yes	0.566379043	NA
R5P051	5	2	134	8	3	Yes	0.710571771	NA
R5P052	5	2	133	8	3	Yes	0.584577807	NA
R5P053	5	2	120	2	2	Yes	0.700068039	NA
R5P055	5	2	129	4	2	No	0.454721678	NA
R5P056	5	2	127	4	3	Yes	0.685017734	NA
R5P057	5	2	135	8	2	No	0.597143194	NA
R5P058	5	2	136	8	2	Yes	0.540208984	NA
R5P059	5	2	130	4	2	No	0.643329887	NA
R5P060	5	2	7	1	1	Yes	0.683625667	NA
R5P061	5	2	118	2	2	No	0.512038348	NA
R5P062	5	2	121	2	2	Yes	0.671226082	NA
R5P063	5	2	9	1	1	No	0.650409003	NA
R5P064	5	2	128	4	3	Yes	0.685772161	NA
R5P065	5	2	116	2	2	Yes	0.599536785	NA
R5P066	5	2	124	4	1	No	0.474134504	NA
R5P067	5	2	110	1	1	Yes	0.598657948	NA
R5P068	5	2	115	2	1	No	0.638638566	NA
R5P069	5	2	124	4	1	No	0.544819619	NA
R5P070	5	2	112	1	1	No	0.659855494	NA
R5P071	5	2	108	1	1	No	0.433625525	NA
R5P072	5	2	5	1	1	No	0.499120296	NA
R5P073	5	2	117	2	2	Yes	0.447449925	NA
R5P074	5	2	109	1	1	No	0.636812371	NA
R5P075	5	2	126	4	2	Yes	0.550945596	NA
R5P076	5	2	113	1	1	No	0.652191645	NA
R6P001	6	2	153	4	3	Yes	0.148971832	0.012525
R6P002	6	2	140	1	1	Yes	0.855436621	0.03616
R6P003	6	2	10	1	1	No	0.111259953	0.011832
R6P004	6	2	141	1	1	Yes	0.121947109	0.010346
R6P005	6	2	137	1	1	No	0.0785	0.008171
R6P008	6	1	10	1	1	No	0.301614199	0.021404
R6P009	6	1	159	12	3	Yes	0.351873278	0.035521
R6P010	6	1	159	12	3	Yes	0.43912558	0.043553
R6P011	6	1	141	1	1	Yes	0.164686553	0.012018
R6P012	6	1	144	2	1	No	0.212465977	0.011268
R6P013	6	1	153	4	3	Yes	0.163184275	0.023128
R6P014	6	1	143	1	1	No	0.109545472	0.0137
R6P015	6	1	148	2	1	No	0.459917874	0.010566
R6P017	6	1	158	8	3	Yes	0.232396991	0.037621
R6P018	6	1	156	8	3	Yes	0.259544835	0.028069
R6P019	6	2	149	2	1	Yes	0.238492843	0.027372
R6P020	6	2	152	4	2	No	0.175923444	0.024069
R6P021	6	2	6	1	1	Yes	0.232929821	0.048869
R6P023	6	2	159	12	3	Yes	0.239942073	0.019535
R6P024	6	2	158	8	3	Yes	0.368114319	0.025635
R6P025	6	2	156	8	3	Yes	0.186293031	0.016531
R6P026	6	2	155	4	3	Yes	0.388544604	0.012173
R6P027	6	2	151	4	2	Yes	0.709465425	0.056769
R6P028	6	2	146	2	2	Yes	0.342956339	0.019739
R6P029	6	2	145	2	2	Yes	0.931147895	0.025372
R6P030	6	2	113	1	1	No	0.800646122	0.036543
R6P031	6	1	151	4	2	Yes	1.091175607	0.035779
R6P032	6	1	145	2	2	Yes	1.292943576	0.027089
R6P033	6	1	137	1	1	No	0.59441503	0.030256
R6P034	6	1	147	2	2	No	0.575200196	0.027662
R6P035	6	1	7	1	1	Yes	2.145895903	0.060851
R6P036	6	1	3	1	1	No	1.206935611	0.014233
R6P037	6	1	155	4	3	Yes	0.82910083	0.033404
R6P038	6	1	152	4	2	No	0.336458872	0.032539
R6P040	6	1	142	1	1	No	0.876618123	0.068525
R6P041	6	1	139	1	1	No	0.191915787	0.02919
R6P043	6	2	154	4	3	Yes	0.16988907	0.028755
R6P044	6	2	148	2	1	No	0.118871676	0.043747
R6P045	6	2	157	8	3	Yes	0.684465429	0.044311
R6P046	6	2	139	1	1	No	0.13322314	0.038484
R6P047	6	2	147	2	2	No	0.207015165	0.029813
R6P048	6	2	3	1	1	No	0.127036702	0.03151
R6P051	6	2	144	2	1	No	0.0509	0.025761
R6P052	6	2	146	2	2	Yes	0.479103747	0.029648
R6P053	6	2	138	1	1	No	0.0986	0.032346
R6P054	6	2	159	12	3	Yes	0.313687164	0.033211
R6P056	6	1	154	4	3	Yes	0.966178789	0.028317
R6P057	6	1	140	1	1	Yes	1.106826455	0.034733
R6P058	6	1	149	2	1	Yes	1.708400678	0.077025
R6P059	6	1	113	1	1	No	1.165444815	0.030711
R6P060	6	1	138	1	1	No	0.426843285	0.027722
R6P062	6	1	150	4	2	Yes	0.476180341	0.028038
R6P063	6	1	6	1	1	Yes	0.190642134	0.059671
R6P066	6	1	157	8	3	Yes	0.671027669	0.040377
R6P067	6	2	143	1	1	No	0.0985	0.073223
R6P068	6	2	7	1	1	Yes	0.883311799	0.074005
R6P069	6	2	142	1	1	No	0.284160344	0.038656
R6P072	6	2	150	4	2	Yes	0.250662658	0.03161
S7P001	7	1	108	1	1	No	NA	NA
S7P002	7	1	167	2	2	Yes	NA	NA
S7P003	7	1	161	1	1	No	0.275742407	NA
S7P004	7	1	139	1	1	No	0.278441208	NA
S7P005	7	1	176	8	3	Yes	0.263356027	NA
S7P006	7	1	109	1	1	No	NA	NA
S7P007	7	1	165	2	2	No	NA	NA
S7P008	7	1	164	2	1	No	NA	NA
S7P009	7	1	172	4	3	Yes	NA	NA
S7P010	7	1	160	1	1	No	NA	NA
S7P011	7	1	169	4	3	Yes	NA	NA
S7P012	7	1	177	12	3	Yes	NA	NA
S7P013	7	1	168	2	2	Yes	NA	NA
S7P014	7	1	1	1	1	No	0.261495055	NA
S7P015	7	1	171	4	3	Yes	NA	NA
S7P016	7	1	163	1	1	No	NA	NA
S7P017	7	1	141	1	1	Yes	0.245892579	NA
S7P018	7	1	111	1	1	No	NA	NA
S7P019	7	1	174	8	3	Yes	NA	NA
S7P020	7	1	7	1	1	Yes	NA	NA
S7P021	7	1	162	1	1	No	NA	NA
S7P022	7	1	173	8	3	Yes	NA	NA
S7P023	7	1	177	12	3	Yes	0.259334887	NA
S7P024	7	1	9	1	1	No	0.268105039	NA
S7P025	7	1	170	4	3	Yes	0.266569306	NA
S7P026	7	1	175	8	3	Yes	NA	NA
S7P027	7	1	166	2	2	No	0.261162539	NA
S7P028	7	2	175	8	3	Yes	NA	NA
S7P029	7	2	162	1	1	No	NA	NA
S7P030	7	2	168	2	2	Yes	NA	NA
S7P031	7	2	171	4	3	Yes	NA	NA
S7P032	7	2	166	2	2	No	0.255134799	NA
S7P033	7	2	1	1	1	No	0.255392385	NA
S7P034	7	2	177	12	3	Yes	NA	NA
S7P035	7	2	160	1	1	No	NA	NA
S7P036	7	2	169	4	3	Yes	NA	NA
S7P037	7	2	172	4	3	Yes	NA	NA
S7P038	7	2	111	1	1	No	NA	NA
S7P039	7	2	177	12	3	Yes	0.260156947	NA
S7P040	7	2	173	8	3	Yes	NA	NA
S7P041	7	2	109	1	1	No	NA	NA
S7P042	7	2	170	4	3	Yes	0.249379095	NA
S7P043	7	2	163	1	1	No	NA	NA
S7P044	7	2	176	8	3	Yes	0.268796524	NA
S7P045	7	2	7	1	1	Yes	NA	NA
S7P046	7	2	164	2	1	No	NA	NA
S7P047	7	2	108	1	1	No	NA	NA
S7P048	7	2	9	1	1	No	0.248472438	NA
S7P049	7	2	161	1	1	No	0.266952376	NA
S7P050	7	2	165	2	2	No	NA	NA
S7P051	7	2	174	8	3	Yes	NA	NA
S7P052	7	2	167	2	2	Yes	NA	NA
S7P053	7	2	141	1	1	Yes	0.267990362	NA
S7P054	7	2	139	1	1	No	0.273528903	NA
S8P001	8	1	187	4	2	No	0.356406757	0.144647
S8P002	8	1	191	8	1	No	0.361127712	0.15348
S8P003	8	1	4	1	1	No	0.348601777	0.138086
S8P005	8	1	113	1	1	No	0.374301541	0.117352
S8P006	8	1	179	1	1	No	0.385315513	0.044044
S8P007	8	1	143	1	1	No	0.39114336	0.144387
S8P008	8	1	189	4	3	Yes	0.380757772	0.149541
S8P009	8	1	141	1	1	Yes	0.396137275	0.142383
S8P010	8	1	197	11	2	No	0.376927461	0.087397
S8P011	8	1	188	4	2	Yes	0.364285171	0.056174
S8P012	8	1	181	2	1	No	0.366521605	0.045529
S8P013	8	1	185	4	1	No	0.351229446	0.108463
S8P014	8	1	183	2	2	Yes	0.360850367	0.12655
S8P015	8	1	190	4	3	Yes	0.385357587	0.127878
S8P017	8	1	198	11	2	Yes	0.376712303	0.122972
S8P018	8	1	2	1	1	No	0.321767684	0.113112
S8P020	8	1	16	2	2	No	0.353753452	0.088854
S8P022	8	1	5	1	1	No	0.328607515	0.075793
S8P023	8	1	182	2	2	Yes	0.31978737	0.088472
S8P025	8	1	196	11	1	No	0.379317744	0.110446
S8P026	8	1	108	1	1	No	0.268994834	0.071955
S8P027	8	1	180	2	1	No	0.196764893	0.123895
S8P028	8	1	200	11	3	Yes	0.359951032	0.115773
S8P029	8	1	199	11	3	Yes	0.347044351	0.12161
S8P031	8	1	192	8	2	No	0.33341091	0.091679
S8P032	8	1	178	1	1	No	0.350936385	0.130916
S8P033	8	1	194	8	3	Yes	0.37680886	0.076485
S8P034	8	1	184	2	2	No	0.346863447	0.09383
S8P036	8	1	7	1	1	Yes	0.355729172	0.118287
S8P037	8	1	186	4	1	No	0.293196809	0.050889
S8P038	8	1	9	1	1	No	0.333880917	0.117455
S8P039	8	1	193	8	2	Yes	0.345040339	0.026575
S8P040	8	1	195	8	3	Yes	0.36452239	0.123578
S8P042	8	2	186	4	1	No	0.348333168	0.066211
S8P043	8	2	198	11	2	Yes	0.336826507	0.06533
S8P044	8	2	7	1	1	Yes	0.327012547	0.077198
S8P045	8	2	5	1	1	No	0.297645451	0.04328
S8P046	8	2	187	4	2	No	0.34865119	0.032329
S8P047	8	2	194	8	3	Yes	0.345447771	0.131739
S8P048	8	2	184	2	2	No	0.281301895	NA
S8P050	8	2	192	8	2	No	0.369944848	NA
S8P051	8	2	141	1	1	Yes	0.332052775	0.030825
S8P052	8	2	113	1	1	No	0.362014963	NA
S8P053	8	2	9	1	1	No	0.354365962	0.10025
S8P055	8	2	200	11	3	Yes	0.36922229	0.098
S8P056	8	2	178	1	1	No	0.319300954	0.029609
S8P059	8	2	143	1	1	No	0.380873002	0.056599
S8P060	8	2	195	8	3	Yes	0.381651666	0.095651
S8P061	8	2	182	2	2	Yes	0.355019572	0.067201
S8P062	8	2	197	11	2	No	0.383552514	0.053455
S8P063	8	2	185	4	1	No	0.306615895	0.076699
S8P064	8	2	16	2	2	No	0.338242026	0.063942
S8P065	8	2	2	1	1	No	0.333254362	0.028717
S8P066	8	2	191	8	1	No	0.310449275	0.088883
S8P068	8	2	179	1	1	No	0.341135668	0.144932
S8P069	8	2	181	2	1	No	0.335433328	0.111578
S8P070	8	2	183	2	2	Yes	0.329860836	0.12314
S8P071	8	2	188	4	2	Yes	0.37914287	0.125397
S8P072	8	2	199	11	3	Yes	0.340493395	0.124471
S8P073	8	2	189	4	3	Yes	0.379370443	0.123075
S8P074	8	2	108	1	1	No	0.379488111	0.128079
S8P075	8	2	196	11	1	No	0.375793389	0.093509
S8P076	8	2	193	8	2	Yes	0.358081429	0.064018
S8P077	8	2	4	1	1	No	0.308197212	0.104325
S8P078	8	2	190	4	3	Yes	0.38901002	0.116714
S8P079	8	2	180	2	1	No	0.296220321	0.088616
