plot	location	block	composition	species.richness	functional.richness	legumes	height3	light3	gravity3
C2P020	2	1	49	4	3	Yes	NA	NA	4.206237825
C2P021	2	1	39	1	1	No	NA	NA	10
C2P024	2	1	45	2	2	No	NA	NA	7.176887369
C2P025	2	1	34	1	1	Yes	NA	NA	0
C2P026	2	1	54	14	3	Yes	NA	NA	2.994765172
C2P027	2	1	50	4	3	Yes	NA	NA	6.658344554
C2P028	2	1	43	2	1	No	NA	NA	0
C2P029	2	1	48	4	3	Yes	NA	NA	7.218306255
C2P030	2	1	5	1	1	No	NA	NA	6.38453886
C2P032	2	1	35	1	1	Yes	NA	NA	2.604343927
C2P033	2	1	47	4	3	Yes	NA	NA	0
C2P034	2	1	31	1	1	No	NA	NA	0
C2P035	2	1	43	2	1	No	NA	NA	0
C2P036	2	1	51	4	3	Yes	NA	NA	3.731396502
C2P038	2	1	38	1	1	No	NA	NA	2.726479282
C2P039	2	1	44	2	2	No	NA	NA	10.01945693
C2P040	2	1	54	14	3	Yes	NA	NA	6.717707619
C2P041	2	1	32	1	1	No	NA	NA	10.49239145
C2P042	2	1	44	2	2	No	NA	NA	5.908014942
C2P043	2	1	48	4	3	Yes	NA	NA	4.462305265
C2P044	2	1	35	1	1	Yes	NA	NA	2.654438484
C2P045	2	1	50	4	3	Yes	NA	NA	7.866627204
C2P046	2	1	31	1	1	No	NA	NA	0
C2P047	2	1	9	1	1	No	NA	NA	3.250242496
C2P048	2	1	42	2	1	No	NA	NA	5.878927177
C2P049	2	1	36	1	1	Yes	NA	NA	0
C2P050	2	1	42	2	1	No	NA	NA	7.092762454
C2P051	2	1	40	1	1	No	NA	NA	0
C2P052	2	1	46	2	2	Yes	NA	NA	0
C2P053	2	1	47	4	3	Yes	NA	NA	4.165938359
C2P054	2	1	53	8	3	Yes	NA	NA	3.624240933
C2P055	2	1	52	8	3	Yes	NA	NA	6.604647687
C2P056	2	1	41	1	1	No	NA	NA	7.857767325
C2P057	2	1	41	1	1	No	NA	NA	4.784832053
C2P058	2	1	46	2	2	Yes	NA	NA	0
C2P064	2	1	54	14	3	Yes	NA	NA	5.163585087
C2P065	2	1	54	14	3	Yes	NA	NA	6.884443094
C2P067	2	1	53	8	3	Yes	NA	NA	3.89817527
L3P001	3	1	55	1	1	No	68	51.8800199	20.28634717
L3P002	3	1	56	4	1	No	94.9	34.28132385	21.37221338
L3P003	3	1	57	4	3	Yes	68.9	1.705247071	25.40303703
L3P004	3	1	9	1	1	No	24.7	62.52633929	23.62607467
L3P005	3	1	58	4	2	No	87.4	44.59778517	23.3840552
L3P006	3	1	59	8	3	Yes	134.5	4.949333332	27.72169867
L3P007	3	1	60	4	2	Yes	113.2	5.532350391	24.89171004
L3P008	3	1	6	1	1	Yes	36	16.08268917	19.56991286
L3P009	3	1	61	8	1	No	84.4	40.95624685	24.61229236
L3P010	3	1	62	2	2	Yes	60.6	5.22860866	22.82096753
L3P011	3	1	2	1	1	No	85.25	40.9873724	22.50800586
L3P012	3	1	63	2	1	No	52.3	21.14211842	19.26798902
L3P013	3	1	7	1	1	Yes	NA	5.605925061	0
L3P014	3	1	64	2	2	No	67.8	43.36015284	21.62694574
L3P015	3	1	65	4	2	No	60.2	19.25791353	20.363273
L3P016	3	1	66	4	1	No	23	20.94592825	18.18116542
L3P017	3	1	67	2	2	No	20.8	67.10386872	12.72423294
L3P018	3	1	68	8	2	No	81.2	30.19762486	21.98316214
L3P019	3	1	69	32	3	Yes	83.9	1.981289219	22.14241408
L3P020	3	1	70	2	1	No	89.2	37.22622246	19.27688911
L3P021	3	1	71	8	3	Yes	85	1.96606135	25.64303005
L3P022	3	1	72	2	2	Yes	96.2	1.584965317	24.95307531
L3P023	3	1	73	4	3	Yes	73	0.510230189	30.68079798
L3P024	3	1	74	1	1	No	79.6	22.22672626	26.57436888
L3P025	3	1	75	2	1	No	NA	56.3890487	12.99399597
L3P026	3	1	76	1	1	No	NA	57.68272877	12.80465417
L3P027	3	1	77	32	3	Yes	64.2	0.313020009	27.15852376
L3P028	3	1	78	1	1	No	45.5	38.55515718	20.52585801
L3P029	3	1	79	4	2	Yes	NA	4.7730105	20.33460116
L3P030	3	1	80	8	2	Yes	56.33333333	1.216456573	24.14291871
L3P031	3	1	3	1	1	No	31.375	39.9490431	13.01027809
L3P032	3	1	81	1	1	No	NA	41.14020765	14.16168077
L3P033	3	2	79	4	2	Yes	68	NA	24.91350158
L3P034	3	2	69	32	3	Yes	98.9	NA	24.21243195
L3P035	3	2	56	4	1	No	104.8	NA	25.15585134
L3P036	3	2	2	1	1	No	120.3	NA	24.8927575
L3P037	3	2	81	1	1	No	19.7	NA	13.61475726
L3P038	3	2	7	1	1	Yes	25.8	NA	18.02021293
L3P039	3	2	71	8	3	Yes	102	NA	25.1290379
L3P040	3	2	62	2	2	Yes	60.3	NA	21.03023344
L3P041	3	2	64	2	2	No	42	NA	18.88857105
L3P042	3	2	9	1	1	No	23.8	NA	17.99707259
L3P043	3	2	55	1	1	No	71.9	NA	19.41650974
L3P044	3	2	60	4	2	Yes	124.5	6.044990756	24.66580611
L3P045	3	2	6	1	1	Yes	50.2	NA	24.7394741
L3P046	3	2	67	2	2	No	30.4	NA	17.57586131
L3P047	3	2	63	2	1	No	98.9	40.89220017	24.1511969
L3P048	3	2	59	8	3	Yes	136.4	NA	26.58492545
L3P049	3	2	3	1	1	No	92.6	10.27793288	21.37207841
L3P050	3	2	65	4	2	No	65.9	11.78628504	17.80144116
L3P051	3	2	57	4	3	Yes	67.1	2.127816342	23.92643484
L3P052	3	2	70	2	1	No	104.6	37.73149401	20.41352429
L3P053	3	2	76	1	1	No	43	24.8222366	16.05393827
L3P054	3	2	66	4	1	No	83.5	12.75746748	21.08549385
L3P055	3	2	80	8	2	Yes	75	NA	23.85629457
L3P056	3	2	73	4	3	Yes	100.3	NA	24.33356947
L3P057	3	2	75	2	1	No	27.2	44.67130899	14.5609576
L3P058	3	2	78	1	1	No	38.9	28.05624604	17.65756988
L3P059	3	2	61	8	1	No	121.5	28.85830104	22.95392464
L3P060	3	2	77	32	3	Yes	81.4	5.827576481	26.19287859
L3P061	3	2	74	1	1	No	97	NA	26.59429788
L3P062	3	2	58	4	2	No	96.9	NA	21.53043607
L3P063	3	2	68	8	2	No	97.3	NA	20.41231476
L3P064	3	2	72	2	2	Yes	126.6	NA	25.5124528
M4P001	4	1	93	2	2	Yes	8.890000033	71.24137931	4.840486578
M4P002	4	1	102	8	3	Yes	28.98000026	29.61373391	12.46258698
M4P003	4	1	82	1	1	No	13.95999985	81.28617363	17.55992574
M4P004	4	1	88	1	1	Yes	5.779999995	64.62536023	7.087206124
M4P005	4	1	95	4	2	No	49.59000044	43.60902256	17.99646349
M4P006	4	1	97	4	3	Yes	87.78999977	12.08563536	20.87006774
M4P009	4	1	105	18	3	Yes	43.31000051	40	13.67355175
M4P010	4	1	89	2	2	Yes	12.26999989	74.95232041	7.903865717
M4P011	4	1	91	2	2	No	64.75999985	37.69230769	15.18424449
M4P012	4	1	106	18	3	Yes	63.49000015	29.11392405	24.13250473
M4P014	4	1	85	1	1	No	11.2499999	82.12083847	5.787128713
M4P015	4	1	84	1	1	No	21.7999999	74.76923077	23.14281559
M4P016	4	1	98	4	2	No	58.05000076	58.08823529	19.1281786
M4P017	4	1	94	2	1	No	45.58000031	50.54678007	13.01915985
M4P018	4	1	99	4	3	Yes	25.4899992	57.51515152	9.939807353
M4P019	4	1	100	8	3	Yes	31.2500001	37.4032162	14.24214214
M4P020	4	1	92	2	2	No	15.89999981	79.4135995	6.030177801
M4P021	4	1	87	1	1	No	69.51999931	46.24242424	12.11395772
M4P022	4	1	104	18	3	Yes	41.00000019	41.84884447	15.48360112
M4P023	4	1	96	4	2	Yes	51.19999962	42.64705882	12.2018103
M4P024	4	1	101	8	3	Yes	31.80999966	37.85310734	17.69473727
M4P026	4	1	107	18	3	Yes	40.69000034	48.82317441	16.15541311
M4P027	4	1	90	2	2	Yes	69.48000031	38.0058651	11.01961149
M4P028	4	1	83	1	1	No	19.48999996	80.8411215	7.644763628
M4P029	4	1	103	8	3	Yes	83.35000038	43.88111888	15.09742569
M4P030	4	1	86	1	1	No	4.559999943	83.86277001	10.07328719
M4P031	4	2	84	1	1	No	49.97000008	53.07197191	23.15020298
M4P032	4	2	107	18	3	Yes	72.68999977	35.59027778	22.19782562
M4P033	4	2	90	2	2	Yes	45.24999933	53.06004619	12.1050059
M4P034	4	2	89	2	2	Yes	11.69000015	65.67425569	9.671086509
M4P035	4	2	99	4	3	Yes	21.30999975	78.89534884	8.539777748
M4P036	4	2	94	2	1	No	30.11999931	84.15138971	14.75851151
M4P037	4	2	91	2	2	No	77.40999947	50.2159161	14.97898146
M4P038	4	2	105	18	3	Yes	47.01999989	41.79285282	16.48188061
M4P039	4	2	86	1	1	No	6.30999999	74.77744807	10.07975035
M4P041	4	2	103	8	3	Yes	30.79999971	22.15709261	15.59943522
M4P042	4	2	97	4	3	Yes	34.25999985	70.30516432	15.80830675
M4P043	4	2	83	1	1	No	29.33000011	53.05275637	5.810502283
M4P044	4	2	101	8	3	Yes	83.51000023	16.64383562	18.72377937
M4P045	4	2	96	4	2	Yes	48.71999931	35.50877193	13.51475897
M4P046	4	2	104	18	3	Yes	65.23999977	35.53137004	14.42651814
M4P047	4	2	88	1	1	Yes	10.97000017	45.71248424	8.241424802
M4P048	4	2	93	2	2	Yes	18.00000019	50.55350554	7.367440369
M4P049	4	2	87	1	1	No	93.26999893	15.13240858	15.87840301
M4P050	4	2	82	1	1	No	17.93999987	81.35048232	17.55992574
M4P051	4	2	102	8	3	Yes	48.07000008	17.94871795	18.09669483
M4P052	4	2	85	1	1	No	12.0500001	52.24358974	8.063804272
M4P053	4	2	95	4	2	No	33.12000046	41.6933932	16.57970239
M4P054	4	2	106	18	3	Yes	53.4899992	38.82663151	15.81167856
M4P056	4	2	92	2	2	No	20.26999998	40.0140647	10.75113411
M4P058	4	2	100	8	3	Yes	43.71999969	11.67741935	11.4924378
M4P060	4	2	98	4	2	No	60.96000137	34.2689295	14.0149642
R5P003	5	1	108	1	1	No	19.9	21.63101308	12.15437594
R5P004	5	1	117	2	2	Yes	27.2	1.907932013	17.77957861
R5P005	5	1	5	1	1	No	39.6	2.274054575	25.34301092
R5P006	5	1	127	4	3	Yes	34.1	2.894237414	27.79968499
R5P007	5	1	131	4	2	Yes	36.6	1.154850973	25.74644219
R5P008	5	1	118	2	2	No	37.7	3.080777247	26.72209026
R5P009	5	1	135	8	2	No	38.8	4.277552739	24.22497793
R5P010	5	1	7	1	1	Yes	10.7	16.30489469	10.37663755
R5P011	5	1	112	1	1	No	13.6	3.394901566	19.17631345
R5P012	5	1	120	2	2	Yes	23	1.773253819	22.93951901
R5P013	5	1	113	1	1	No	16.3	NA	24.38661366
R5P014	5	1	130	4	2	No	33.5	3.198875375	20.6830848
R5P015	5	1	124	4	1	No	41.4	1.885268255	24.11055026
R5P016	5	1	116	2	2	Yes	43	1.606305698	21.25317575
R5P017	5	1	1	1	1	No	38.3	6.258606762	37.575
R5P018	5	1	119	2	2	No	38.2	5.357835665	25.20686629
R5P019	5	1	126	4	2	Yes	36.3	3.789654858	19.00738595
R5P020	5	1	110	1	1	Yes	12.8	4.299487388	15.35934292
R5P021	5	1	136	8	2	Yes	31.3	3.929168452	27.94708391
R5P022	5	1	132	4	2	Yes	32	3.525825702	31.79151331
R5P023	5	1	114	2	1	No	28.4	2.388013788	26.8997317
R5P024	5	1	121	2	2	Yes	31.3	6.538898163	31.78285256
R5P025	5	1	109	1	1	No	25.3	6.027541831	17.20489745
R5P026	5	1	111	1	1	No	26.2	4.1008031	20.77956989
R5P027	5	1	9	1	1	No	33.6	3.798598945	19.94233525
R5P028	5	1	133	8	3	Yes	34.2	2.613901775	25.35089115
R5P029	5	1	135	8	2	No	38.4	4.026382826	24.30102916
R5P030	5	1	134	8	3	Yes	39.3	3.931468502	24.78101695
R5P031	5	1	128	4	3	Yes	28.4	4.645607844	15.95129207
R5P032	5	1	115	2	1	No	39.9	2.572311647	20.72990886
R5P033	5	1	122	3	3	Yes	27.7	3.047476187	21.72195993
R5P035	5	1	125	4	2	Yes	38.5	2.163505936	23.68135306
R5P036	5	1	129	4	2	No	43.1	2.200602945	24.08668382
R5P037	5	1	123	3	3	Yes	41	2.914162688	22.64001257
R5P038	5	1	124	4	1	No	40	0.889846776	30.73081608
R5P041	5	2	1	1	1	No	29.9	4.78805989	32.70439711
R5P042	5	2	125	4	2	Yes	34.2	1.736445315	24.74998314
R5P043	5	2	111	1	1	No	21.7	9.548827112	16.21046409
R5P044	5	2	122	3	3	Yes	30.9	2.855385672	17.60550996
R5P045	5	2	135	8	2	No	32.8	3.885137253	22.00244357
R5P046	5	2	132	4	2	Yes	34.2	1.848135311	24.34377828
R5P047	5	2	131	4	2	Yes	34.3	1.489041261	27.05520654
R5P048	5	2	114	2	1	No	40.7	3.138833158	25.49360146
R5P049	5	2	119	2	2	No	31.9	5.104013719	24.41284567
R5P050	5	2	123	3	3	Yes	35.4	2.293293085	20.04889976
R5P051	5	2	134	8	3	Yes	41.6	2.187272087	24.17273126
R5P052	5	2	133	8	3	Yes	45	1.821774635	24.77395261
R5P053	5	2	120	2	2	Yes	19.3	0.743202078	21.37951763
R5P055	5	2	129	4	2	No	38.9	2.649504188	25.09844946
R5P056	5	2	127	4	3	Yes	31.6	3.722664826	24.35344828
R5P057	5	2	135	8	2	No	43	1.795825511	19.26475619
R5P058	5	2	136	8	2	Yes	25.2	2.175363135	25.80613577
R5P059	5	2	130	4	2	No	36.5	2.112624068	19.42572215
R5P060	5	2	7	1	1	Yes	10	19.9881041	10.19708029
R5P061	5	2	118	2	2	No	39.4	2.839188222	28.54845847
R5P062	5	2	121	2	2	Yes	29.4	2.803544253	27.68640742
R5P063	5	2	9	1	1	No	27.4	4.788014702	21.86629134
R5P064	5	2	128	4	3	Yes	32.4	1.158522274	16.75229558
R5P065	5	2	116	2	2	Yes	33.2	3.769803895	26.79102433
R5P066	5	2	124	4	1	No	37.6	1.075170394	24.54613509
R5P067	5	2	110	1	1	Yes	10.1	1.349658016	12.60204082
R5P068	5	2	115	2	1	No	43.5	1.35033343	24.81756098
R5P069	5	2	124	4	1	No	44.4	2.1193951	27.59783663
R5P070	5	2	112	1	1	No	12.1	12.84367368	13.69491525
R5P071	5	2	108	1	1	No	28	3.061255505	16.30727537
R5P072	5	2	5	1	1	No	39.1	1.778602358	24.89879333
R5P073	5	2	117	2	2	Yes	29	2.038538074	15.98204797
R5P074	5	2	109	1	1	No	21.1	3.060885184	15.81860465
R5P075	5	2	126	4	2	Yes	42.8	0.748115778	22.45843631
R5P076	5	2	113	1	1	No	9.3	38.94528419	21.09426333
R6P001	6	2	153	4	3	Yes	83.9	19.05391276	13.34580152
R6P002	6	2	140	1	1	Yes	40.65	6.621927377	6.000524167
R6P003	6	2	10	1	1	No	26.5	54.82988119	15.84107838
R6P004	6	2	141	1	1	Yes	22	76.30466074	2.5
R6P005	6	2	137	1	1	No	67.8	22.70364374	14.94140348
R6P008	6	1	10	1	1	No	29.9	28.31480473	12.2786596
R6P009	6	1	159	12	3	Yes	76.2	1.823679982	12.11216407
R6P010	6	1	159	12	3	Yes	77.8	3.142789491	9.765308215
R6P011	6	1	141	1	1	Yes	NA	79.32221174	2.5
R6P012	6	1	144	2	1	No	81.8	17.53312111	17.12666654
R6P013	6	1	153	4	3	Yes	91.9	14.6119903	13.11926453
R6P014	6	1	143	1	1	No	14.8	62.59366214	18.01915965
R6P015	6	1	148	2	1	No	49.2	18.91441345	20.58425981
R6P017	6	1	158	8	3	Yes	85.5	11.24255382	14.26840798
R6P018	6	1	156	8	3	Yes	78.1	5.428708941	15.04051138
R6P019	6	2	149	2	1	Yes	26.22222222	13.31464972	5.919996331
R6P020	6	2	152	4	2	No	27.85714286	32.02957243	12.11050642
R6P021	6	2	6	1	1	Yes	45.625	24.85779002	5.214846749
R6P023	6	2	159	12	3	Yes	66.2	24.46520656	15.40293054
R6P024	6	2	158	8	3	Yes	56.55555556	39.07543063	18.29528932
R6P025	6	2	156	8	3	Yes	101	17.71368235	20.02525867
R6P026	6	2	155	4	3	Yes	40.4	4.550298415	7.522982085
R6P027	6	2	151	4	2	Yes	17.25	33.53605628	6.252472363
R6P028	6	2	146	2	2	Yes	18.22222222	63.49326491	5.526906524
R6P029	6	2	145	2	2	Yes	55.11111111	32.16632843	13.204881
R6P030	6	2	113	1	1	No	16.125	67.33442843	24.42449283
R6P031	6	1	151	4	2	Yes	40.3	4.043992488	7.807198334
R6P032	6	1	145	2	2	Yes	55.1	2.952280398	11.07801819
R6P033	6	1	137	1	1	No	67.7	21.90954641	23.66281706
R6P034	6	1	147	2	2	No	16.4	49.61333554	4.750025366
R6P035	6	1	7	1	1	Yes	24.1	3.261839114	5.188519124
R6P036	6	1	3	1	1	No	38.8	36.03052557	5.765678737
R6P037	6	1	155	4	3	Yes	31.1	10.96539529	7.160508696
R6P038	6	1	152	4	2	No	49.6	16.9362855	10.14613589
R6P040	6	1	142	1	1	No	33.625	68.51949036	9.776283591
R6P041	6	1	139	1	1	No	7	62.64668971	2.901143219
R6P043	6	2	154	4	3	Yes	65.6	33.44498754	9.700016692
R6P044	6	2	148	2	1	No	6.785714286	65.93985856	3.372845133
R6P045	6	2	157	8	3	Yes	45	32.74985105	9.473951949
R6P046	6	2	139	1	1	No	5.6	75.95773101	3.674778347
R6P047	6	2	147	2	2	No	17.6875	58.85735154	8.461790498
R6P048	6	2	3	1	1	No	47.375	39.31161344	6.40026153
R6P051	6	2	144	2	1	No	60.5	26.78302288	11.8304518
R6P052	6	2	146	2	2	Yes	30.22222222	57.22503841	12.25452484
R6P053	6	2	138	1	1	No	46.7	39.18110847	7.49849662
R6P054	6	2	159	12	3	Yes	72.2	32.55975962	22.40249808
R6P056	6	1	154	4	3	Yes	89.4	1.975929067	16.64573349
R6P057	6	1	140	1	1	Yes	35.9	NA	9.688581734
R6P058	6	1	149	2	1	Yes	40	3.43664635	8.150218679
R6P059	6	1	113	1	1	No	43.7	60.68692684	14.35920984
R6P060	6	1	138	1	1	No	56.5	33.90682518	9.278776735
R6P062	6	1	150	4	2	Yes	64.5	10.85422777	12.60524289
R6P063	6	1	6	1	1	Yes	37.3	8.614519425	5.259194961
R6P066	6	1	157	8	3	Yes	54.9	2.872748058	14.40728143
R6P067	6	2	143	1	1	No	11.57142857	59.67633031	3.878057867
R6P068	6	2	7	1	1	Yes	24.88888889	5.149797834	7.97266406
R6P069	6	2	142	1	1	No	19.57142857	72.07500696	4.598780074
R6P072	6	2	150	4	2	Yes	61.8	11.9847925	15.33540329
S7P001	7	1	108	1	1	No	27.40000019	9.213333554	15.74591872
S7P002	7	1	167	2	2	Yes	28.43999996	8.023537084	15.98843144
S7P003	7	1	161	1	1	No	21.95999985	6.466106008	18.88686749
S7P004	7	1	139	1	1	No	26.8999999	29.58529048	21.38858988
S7P005	7	1	176	8	3	Yes	31.01000023	5.181850905	18.66653613
S7P006	7	1	109	1	1	No	28.14000015	23.57645553	19.94323695
S7P007	7	1	165	2	2	No	25.20999985	57.01492599	18.91731616
S7P008	7	1	164	2	1	No	23.55	39.00874626	19.96255107
S7P009	7	1	172	4	3	Yes	27.50999966	4.294786096	20.45889253
S7P010	7	1	160	1	1	No	19.81000013	41.11166699	12.5
S7P011	7	1	169	4	3	Yes	26.67999992	2.636222067	19.20485636
S7P012	7	1	177	12	3	Yes	28.02000008	6.326383896	16.23622008
S7P013	7	1	168	2	2	Yes	25.54999981	3.167689566	21.52832775
S7P014	7	1	1	1	1	No	20.36999989	27.70664807	14.60173787
S7P015	7	1	171	4	3	Yes	23.68999977	20.74355056	16.59562756
S7P016	7	1	163	1	1	No	34.38999958	36.73396638	21.14907932
S7P017	7	1	141	1	1	Yes	28.75999966	3.165143639	23.15265002
S7P018	7	1	111	1	1	No	55.5	17.28921654	25.63929427
S7P019	7	1	174	8	3	Yes	33.99999981	3.75398088	17.57508962
S7P020	7	1	7	1	1	Yes	17.98000002	2.356450439	17.38624612
S7P021	7	1	162	1	1	No	31.49999981	7.985593042	18.5
S7P022	7	1	173	8	3	Yes	29.47000027	1.783305216	18.65789474
S7P023	7	1	177	12	3	Yes	33.66000004	3.891820622	18.56732694
S7P024	7	1	9	1	1	No	29.15000019	26.19116212	22.49541144
S7P025	7	1	170	4	3	Yes	33.54999962	23.7044707	20.85947791
S7P026	7	1	175	8	3	Yes	34.93999977	9.629298896	19.47080668
S7P027	7	1	166	2	2	No	33.06999989	20.93336408	22.32758621
S7P028	7	2	175	8	3	Yes	36.57999992	8.976044128	18.14814815
S7P029	7	2	162	1	1	No	31.11999989	8.304498168	17.27084484
S7P030	7	2	168	2	2	Yes	34.56000004	3.528941031	20.45493197
S7P031	7	2	171	4	3	Yes	29.83999996	19.91069259	16.47222635
S7P032	7	2	166	2	2	No	33.85999947	21.67109416	22.70074813
S7P033	7	2	1	1	1	No	24.43999996	25.78657338	15.3194759
S7P034	7	2	177	12	3	Yes	36.55999985	8.326499075	18.02536388
S7P035	7	2	160	1	1	No	22.51999969	38.50779102	15.58464223
S7P036	7	2	169	4	3	Yes	28.20999985	1.623359213	19.7102227
S7P037	7	2	172	4	3	Yes	35.72000008	2.730647632	19.8617729
S7P038	7	2	111	1	1	No	57.8	12.04956277	23.32159177
S7P039	7	2	177	12	3	Yes	39.36000004	3.119108834	16.05544554
S7P040	7	2	173	8	3	Yes	33.44000015	1.751412465	16.9281015
S7P041	7	2	109	1	1	No	29.47000027	24.14164481	17.62745885
S7P042	7	2	170	4	3	Yes	32.51999989	22.18236147	16.53767231
S7P043	7	2	163	1	1	No	34.21000004	35.60196523	21.71360644
S7P044	7	2	176	8	3	Yes	32.39000015	4.218722949	17.32295918
S7P045	7	2	7	1	1	Yes	22.87000027	2.037470726	12.5
S7P046	7	2	164	2	1	No	25.9	33.53454313	16.66821362
S7P047	7	2	108	1	1	No	27.68000011	5.036764795	15.59703894
S7P048	7	2	9	1	1	No	28.71999989	19.07685091	21.40061763
S7P049	7	2	161	1	1	No	25.16999969	5.435949846	21.52767528
S7P050	7	2	165	2	2	No	25.53000011	63.11397475	18.04922557
S7P051	7	2	174	8	3	Yes	34.26000042	3.124757106	18.08225835
S7P052	7	2	167	2	2	Yes	25.37000027	9.834878331	14.28769231
S7P053	7	2	141	1	1	Yes	28.67999992	3.137530804	18.77387504
S7P054	7	2	139	1	1	No	29.45999966	19.0417195	17.44772409
S8P001	8	1	187	4	2	No	24.25	2.496866714	9.584563596
S8P002	8	1	191	8	1	No	34.5	7.820444405	14.31916219
S8P003	8	1	4	1	1	No	25.58333333	7.434352562	10.60097014
S8P005	8	1	113	1	1	No	6.3	69.12170887	8.213586357
S8P006	8	1	179	1	1	No	12.58333333	14.24355343	9.669584874
S8P007	8	1	143	1	1	No	19.41666667	19.74604249	4.651834841
S8P008	8	1	189	4	3	Yes	27.41666667	3.228279985	14.04993384
