#  Litter decomposition data published in Seidelmann et al.,,,,,,
#  Dataset owners: Katrin N. Seidelmann, Michael Scherer-Lorenzen , Pascal A. Niklaus,,,,
#  Contributions of Katherina A. Pietsch to microclimate data,,,,,,
#  Basic plot level data presenting the experimental design of the BEF-China experiment were obtained from the cited ,,,,,,
#  datasets prepared by Helge Bruelheide, Karsten Schmidt, Karin Nadrowski, Gunnar Seidler,,,
#,,,,,,
#  Column description:,,,,,,
#  site: experimental site (A or B),,,,,,
#  plot: experimental plot (A/C32...),,,,,,
#  subplot: subplot (S1, S2 or S3),,,,,
#  litter_sp: litter species (Schima superba (Schi), Pinus massoniana (Pin) or Osmanthus fragrans (Osm)),,,,,
#  subplot_k: decomposition rate constant k per day (0.001546549, ....),,,,,
#  plot_div: number of tree species planted (0,1,2,4,8,16, 24)
#  plot_composition: tree species mixture at the plot level (CaHe|NySi),,,,,,
#  subplot_shape: subplot  microrelief (linear scale ranging from 1 [strongly concave] to 5 [strongly convex]),,,,,,
#  subplot_GRA_NS: subplot north-south gradient,,,,,,
#  subplot_GRA_EW: subplot east-west gradient,,,,,,
#  subplot_div: number of tree species around subplot position (0-4),,,,,,
#  mean_tree_height: mean height of trees around subplot position [m],,,,,,
#  subplot_composition: tree species mixture around subplot position (CaHe/NySi, ...),,,,,
#  soil_moist_mean: mean annual soil moisture [cm3/cm3],,,,,,
#  air_temp_mean: mean annual air temperature [°C],,,,,,
#  air_temp_ampl: mean daily air temperature amplitude [°C],,,,,,
#  air_temp_ampl_ann: mean annual air temperature amplitude [°C],,,,,,
#  air_hum_mean: mean annual air humidity [%];,,,,,,
#  plot_GRA_NS: plot north-south gradient,,,,,,
#  plot_GRA_EW: plot east-west gradient,,,,,,
#  plot_altitude [m],,,,,,
#  plot_potential_solar_radiation [kWh/m²],,,,,,
#,,,,,,
#,,,,,,
site;plot;subplot;litter_sp;subplot_k;plot_div;plot_composition;subplot_shape;subplot_GRA_NS;subplot_GRA_EW;subplot_div;mean_tree_height;subplot_composition;soil_moist_mean;air_temp_mean; air_temp_ampl; air_temp_ampl_ann; air_hum_mean;GRA_NS_plot;GRA_EW_plot;plot_altitude;plot_potential_solar_radiation,,,,,,
A;E31;S3;Schi;4.210202;1;QuFa;3;-0.317819421;-0.067554603;1;3;QuFa;NA;NA;NA;NA;NA;-0.421164227;-0.120766899;148.75;1439527.49,,,,,,
A;E31;S3;Osm;5.22233605;1;QuFa;3;-0.317819421;-0.067554603;1;3;QuFa;NA;NA;NA;NA;NA;-0.421164227;-0.120766899;148.75;1439527.49,,,,,,
A;E33;S2;Schi;3.29676395;1;LiGl;4;-0.647354133;0.329843405;1;2.75;LiGl;23.75;17.76778854;10.91937432;23.42710417;83.03048065;-0.414730208;-0.202277438;131.14;1393530.51,,,,,,
A;E33;S3;Osm;5.19753065;1;LiGl;5;NA;NA;1;1.25;LiGl;NA;NA;NA;NA;NA;-0.414730208;-0.202277438;131.14;1393530.51,,,,,,
A;E33;S3;Pin;3.51717285;1;LiGl;5;NA;NA;1;1.25;LiGl;NA;NA;NA;NA;NA;-0.414730208;-0.202277438;131.14;1393530.51,,,,,,
A;E33;S2;Pin;3.8853009;1;LiGl;4;-0.647354133;0.329843405;1;2.75;LiGl;23.75;17.76778854;10.91937432;23.42710417;83.03048065;-0.414730208;-0.202277438;131.14;1393530.51,,,,,,
A;E33;S3;Schi;3.2124818;1;LiGl;5;NA;NA;1;1.25;LiGl;NA;NA;NA;NA;NA;-0.414730208;-0.202277438;131.14;1393530.51,,,,,,
A;E33;S2;Osm;6.4273142;1;LiGl;4;-0.647354133;0.329843405;1;2.75;LiGl;23.75;17.76778854;10.91937432;23.42710417;83.03048065;-0.414730208;-0.202277438;131.14;1393530.51,,,,,,
A;E33;S1;Pin;4.07960865;1;LiGl;3;-0.363970234;4.46E-17;1;1.25;LiGl;NA;NA;NA;NA;NA;-0.414730208;-0.202277438;131.14;1393530.51,,,,,,
A;E33;S1;Schi;4.6255866;1;LiGl;3;-0.363970234;4.46E-17;1;1.25;LiGl;NA;NA;NA;NA;NA;-0.414730208;-0.202277438;131.14;1393530.51,,,,,,
A;E33;S1;Osm;7.47421815;1;LiGl;3;-0.363970234;4.46E-17;1;1.25;LiGl;NA;NA;NA;NA;NA;-0.414730208;-0.202277438;131.14;1393530.51,,,,,,
A;E34;S3;Schi;6.5736281;1;CaHe;2;-0.16681437;-0.458318714;1;5.75;CaHe;NA;NA;NA;NA;NA;-0.459310777;-0.321612869;129.45;1370397.25,,,,,,
A;E34;S3;Pin;3.5328204;1;CaHe;2;-0.16681437;-0.458318714;1;5.75;CaHe;NA;NA;NA;NA;NA;-0.459310777;-0.321612869;129.45;1370397.25,,,,,,
A;E34;S3;Osm;4.8698811;1;CaHe;2;-0.16681437;-0.458318714;1;5.75;CaHe;NA;NA;NA;NA;NA;-0.459310777;-0.321612869;129.45;1370397.25,,,,,,
A;E34;S2;Schi;5.91373365;1;CaHe;3;-0.08450756;-0.022643732;1;5.5;CaHe;37.21;17.06128136;10.94142077;22.39867809;88.01701002;-0.459310777;-0.321612869;129.45;1370397.25,,,,,,
A;E34;S2;Osm;7.53314375;1;CaHe;3;-0.08450756;-0.022643732;1;5.5;CaHe;37.21;17.06128136;10.94142077;22.39867809;88.01701002;-0.459310777;-0.321612869;129.45;1370397.25,,,,,,
