plot	location	block	composition	species.richness	functional.richness	legumes	root3
B1P060	1	2	14	2	2	Yes	233.5906467
B1P062	1	2	17	2	2	No	567.0015935
B1P063	1	2	5	1	1	No	252.1377997
B1P064	1	2	26	8	3	Yes	693.8864089
C2P001	2	1	38	1	1	No	9.744344987
C2P002	2	1	5	1	1	No	33.39006253
C2P003	2	1	51	4	3	Yes	38.84680446
C2P004	2	1	45	2	2	No	2.59844873
C2P005	2	1	39	1	1	No	1.948836297
C2P006	2	1	52	8	3	Yes	125.375138
C2P007	2	1	9	1	1	No	72.75655644
C2P008	2	1	3	1	1	No	59.02375687
C2P009	2	1	49	4	3	Yes	4.287440054
C2P010	2	1	40	1	1	No	2.468526243
C2P012	2	1	37	1	1	No	1.818913811
C2P013	2	1	37	1	1	No	635.45057
C2P014	2	1	36	1	1	Yes	15.07100093
C2P015	2	1	33	1	1	No	10.13394895
C2P016	2	1	33	1	1	No	53.13827048
C2P017	2	1	34	1	1	Yes	12.86232016
C2P018	2	1	3	1	1	No	57.29578805
C2P019	2	1	32	1	1	No	1.559069338
C2P020	2	1	49	4	3	Yes	8.834724582
C2P021	2	1	39	1	1	No	1.559068838
C2P024	2	1	45	2	2	No	9.094569055
C2P025	2	1	34	1	1	Yes	11.30325083
C2P026	2	1	54	14	3	Yes	49.63036534
C2P027	2	1	50	4	3	Yes	66.78012556
C2P028	2	1	43	2	1	No	4.937051987
C2P029	2	1	48	4	3	Yes	33.39006253
C2P030	2	1	5	1	1	No	26.50417425
C2P032	2	1	35	1	1	Yes	37.93734806
C2P033	2	1	47	4	3	Yes	2.338603757
C2P034	2	1	31	1	1	No	13.12216514
C2P035	2	1	43	2	1	No	11.95286276
C2P036	2	1	51	4	3	Yes	56.90602109
C2P038	2	1	38	1	1	No	4.937051987
C2P039	2	1	44	2	2	No	11.5630958
C2P040	2	1	54	14	3	Yes	58.7249344
C2P041	2	1	32	1	1	No	9.744181487
C2P042	2	1	44	2	2	No	18.83875054
C2P043	2	1	48	4	3	Yes	111.4734384
C2P044	2	1	35	1	1	Yes	34.81920988
C2P045	2	1	50	4	3	Yes	66.00059064
C2P046	2	1	31	1	1	No	4.677207514
C2P047	2	1	9	1	1	No	110.5639815
C2P048	2	1	42	2	1	No	47.81145103
C2P049	2	1	36	1	1	Yes	11.04340635
C2P050	2	1	42	2	1	No	44.3035459
C2P051	2	1	40	1	1	No	3.248060662
C2P052	2	1	46	2	2	Yes	6.626043811
C2P053	2	1	47	4	3	Yes	5.846508892
C2P054	2	1	53	8	3	Yes	50.0201333
C2P055	2	1	52	8	3	Yes	38.4570365
C2P056	2	1	41	1	1	No	5.19689696
C2P057	2	1	41	1	1	No	11.5630953
C2P058	2	1	46	2	2	Yes	10.13394945
C2P064	2	1	54	14	3	Yes	79.51252324
C2P065	2	1	54	14	3	Yes	122.1270783
C2P067	2	1	53	8	3	Yes	57.42571053
L3P001	3	1	55	1	1	No	546.0011113
L3P002	3	1	56	4	1	No	366.3860739
L3P003	3	1	57	4	3	Yes	184.1272729
L3P004	3	1	9	1	1	No	88.4806268
L3P005	3	1	58	4	2	No	459.2112083
L3P006	3	1	59	8	3	Yes	146.6919128
L3P007	3	1	60	4	2	Yes	510.243887
L3P008	3	1	6	1	1	Yes	171.9917021
L3P009	3	1	61	8	1	No	730.7897201
L3P010	3	1	62	2	2	Yes	265.4904564
L3P011	3	1	2	1	1	No	331.6439895
L3P012	3	1	63	2	1	No	234.6098276
L3P013	3	1	7	1	1	Yes	122.0753033
L3P014	3	1	64	2	2	No	456.7532605
L3P015	3	1	65	4	2	No	411.4522532
L3P016	3	1	66	4	1	No	335.3163652
L3P017	3	1	67	2	2	No	552.3535786
L3P018	3	1	68	8	2	No	145.3624329
L3P019	3	1	69	32	3	Yes	474.7274307
L3P020	3	1	70	2	1	No	561.9443896
L3P021	3	1	71	8	3	Yes	444.3137258
L3P022	3	1	72	2	2	Yes	286.0985863
L3P023	3	1	73	4	3	Yes	228.0580203
L3P024	3	1	74	1	1	No	567.517217
L3P025	3	1	75	2	1	No	78.37481185
L3P026	3	1	76	1	1	No	308.281184
L3P027	3	1	77	32	3	Yes	243.0756427
L3P028	3	1	78	1	1	No	459.8291242
L3P029	3	1	79	4	2	Yes	169.6267224
L3P030	3	1	80	8	2	Yes	263.9357886
L3P031	3	1	3	1	1	No	66.3838211
L3P032	3	1	81	1	1	No	19.09827402
L3P033	3	2	79	4	2	Yes	229.4695282
L3P034	3	2	69	32	3	Yes	153.567704
L3P035	3	2	56	4	1	No	216.6469095
L3P036	3	2	2	1	1	No	515.1104385
L3P037	3	2	81	1	1	No	49.49864286
L3P038	3	2	7	1	1	Yes	77.74518792
L3P039	3	2	71	8	3	Yes	342.5378204
L3P040	3	2	62	2	2	Yes	83.99245927
L3P041	3	2	64	2	2	No	86.38677902
L3P042	3	2	9	1	1	No	217.4831814
L3P043	3	2	55	1	1	No	268.5343601
L3P044	3	2	60	4	2	Yes	352.7386673
L3P045	3	2	6	1	1	Yes	91.78988246
L3P046	3	2	67	2	2	No	282.6750666
L3P047	3	2	63	2	1	No	774.4349395
L3P048	3	2	59	8	3	Yes	326.5932821
L3P049	3	2	3	1	1	No	136.5301418
L3P050	3	2	65	4	2	No	776.3211913
L3P051	3	2	57	4	3	Yes	461.894748
L3P052	3	2	70	2	1	No	288.611258
L3P053	3	2	76	1	1	No	44.69009536
L3P054	3	2	66	4	1	No	65.66369318
L3P055	3	2	80	8	2	Yes	252.6984817
L3P056	3	2	73	4	3	Yes	294.0576854
L3P057	3	2	75	2	1	No	190.9548882
L3P058	3	2	78	1	1	No	373.8842571
L3P059	3	2	61	8	1	No	149.1717285
L3P060	3	2	77	32	3	Yes	220.7679091
L3P061	3	2	74	1	1	No	212.157514
L3P062	3	2	58	4	2	No	224.6251167
L3P063	3	2	68	8	2	No	286.8131422
L3P064	3	2	72	2	2	Yes	303.4252285
M4P001	4	1	93	2	2	Yes	642.9462101
M4P002	4	1	102	8	3	Yes	630.2933916
M4P003	4	1	82	1	1	No	664.2729734
M4P004	4	1	88	1	1	Yes	356.6662434
M4P005	4	1	95	4	2	No	303.6278563
M4P006	4	1	97	4	3	Yes	411.0972364
M4P009	4	1	105	18	3	Yes	142.3243142
M4P010	4	1	89	2	2	Yes	224.3289023
M4P011	4	1	91	2	2	No	1099.163875
M4P012	4	1	106	18	3	Yes	251.9422862
M4P014	4	1	85	1	1	No	282.1817267
M4P015	4	1	84	1	1	No	449.5331569
M4P016	4	1	98	4	2	No	436.7609721
M4P017	4	1	94	2	1	No	1333.599117
M4P018	4	1	99	4	3	Yes	573.1965532
M4P019	4	1	100	8	3	Yes	268.9320771
M4P020	4	1	92	2	2	No	125.4936782
M4P021	4	1	87	1	1	No	2256.419307
M4P022	4	1	104	18	3	Yes	705.1360069
M4P023	4	1	96	4	2	Yes	482.5180203
M4P024	4	1	101	8	3	Yes	358.3373704
M4P026	4	1	107	18	3	Yes	1033.631824
M4P027	4	1	90	2	2	Yes	1461.161809
M4P028	4	1	83	1	1	No	65.29331832
M4P029	4	1	103	8	3	Yes	531.9356323
M4P030	4	1	86	1	1	No	1068.12866
M4P031	4	2	84	1	1	No	484.9053445
M4P032	4	2	107	18	3	Yes	537.3469006
M4P033	4	2	90	2	2	Yes	1329.0632
M4P034	4	2	89	2	2	Yes	338.2838467
M4P035	4	2	99	4	3	Yes	106.9521265
M4P036	4	2	94	2	1	No	332.474691
M4P037	4	2	91	2	2	No	759.4078449
M4P038	4	2	105	18	3	Yes	387.1842051
M4P039	4	2	86	1	1	No	114.0743106
M4P041	4	2	103	8	3	Yes	2518.507721
M4P042	4	2	97	4	3	Yes	606.8180364
M4P043	4	2	83	1	1	No	154.3803017
M4P044	4	2	101	8	3	Yes	277.1683458
M4P045	4	2	96	4	2	Yes	911.3212449
M4P046	4	2	104	18	3	Yes	799.7536248
M4P047	4	2	88	1	1	Yes	578.8863426
M4P048	4	2	93	2	2	Yes	685.4405818
M4P049	4	2	87	1	1	No	1093.63324
M4P050	4	2	82	1	1	No	435.2490001
M4P051	4	2	102	8	3	Yes	647.6810699
M4P052	4	2	85	1	1	No	507.0278826
M4P053	4	2	95	4	2	No	457.4909044
M4P054	4	2	106	18	3	Yes	575.5042999
M4P056	4	2	92	2	2	No	312.6598997
M4P058	4	2	100	8	3	Yes	544.9863382
M4P060	4	2	98	4	2	No	714.6853039
R5P003	5	1	108	1	1	No	598.4226128
R5P004	5	1	117	2	2	Yes	481.4437244
R5P005	5	1	5	1	1	No	204.9119984
R5P006	5	1	127	4	3	Yes	964.4789983
R5P007	5	1	131	4	2	Yes	435.6866762
R5P008	5	1	118	2	2	No	666.461354
R5P009	5	1	135	8	2	No	565.795848
R5P010	5	1	7	1	1	Yes	247.4859476
R5P011	5	1	112	1	1	No	508.8979533
R5P012	5	1	120	2	2	Yes	323.8803237
R5P013	5	1	113	1	1	No	267.7782037
R5P014	5	1	130	4	2	No	696.3029072
R5P015	5	1	124	4	1	No	989.9437903
R5P016	5	1	116	2	2	Yes	442.4507616
R5P017	5	1	1	1	1	No	1319.394537
R5P018	5	1	119	2	2	No	1219.922693
R5P019	5	1	126	4	2	Yes	1082.651549
R5P020	5	1	110	1	1	Yes	359.6901875
R5P021	5	1	136	8	2	Yes	733.3064331
R5P022	5	1	132	4	2	Yes	839.5423623
R5P023	5	1	114	2	1	No	791.0001025
R5P024	5	1	121	2	2	Yes	569.3768344
R5P025	5	1	109	1	1	No	506.9085164
R5P026	5	1	111	1	1	No	552.6655646
R5P027	5	1	9	1	1	No	816.8627819
R5P028	5	1	133	8	3	Yes	851.876871
R5P029	5	1	135	8	2	No	494.5740078
R5P030	5	1	134	8	3	Yes	636.2219135
R5P031	5	1	128	4	3	Yes	961.6937866
R5P032	5	1	115	2	1	No	623.8874048
R5P033	5	1	122	3	3	Yes	1112.890989
R5P035	5	1	125	4	2	Yes	623.0916301
R5P036	5	1	129	4	2	No	642.9859988
R5P037	5	1	123	3	3	Yes	1047.63746
R5P038	5	1	124	4	1	No	748.4261533
R5P041	5	2	1	1	1	No	843.9191235
R5P042	5	2	125	4	2	Yes	498.5528815
R5P043	5	2	111	1	1	No	1023.36633
R5P044	5	2	122	3	3	Yes	750.0177029
R5P045	5	2	135	8	2	No	704.658542
R5P046	5	2	132	4	2	Yes	594.443739
R5P047	5	2	131	4	2	Yes	1614.62697
R5P048	5	2	114	2	1	No	873.3627893
R5P049	5	2	119	2	2	No	2057.077731
R5P050	5	2	123	3	3	Yes	977.6092816
R5P051	5	2	134	8	3	Yes	726.5423477
R5P052	5	2	133	8	3	Yes	570.5704965
R5P053	5	2	120	2	2	Yes	541.5247181
R5P055	5	2	129	4	2	No	822.0353178
R5P056	5	2	127	4	3	Yes	1247.376922
R5P057	5	2	135	8	2	No	991.9332272
R5P058	5	2	136	8	2	Yes	618.3169816
R5P059	5	2	130	4	2	No	1250.162134
R5P060	5	2	7	1	1	Yes	625.8768417
R5P061	5	2	118	2	2	No	869.3839155
R5P062	5	2	121	2	2	Yes	981.9860428
R5P063	5	2	9	1	1	No	892.8592707
R5P064	5	2	128	4	3	Yes	764.3416484
R5P065	5	2	116	2	2	Yes	327.0634227
R5P066	5	2	124	4	1	No	705.8522042
R5P067	5	2	110	1	1	Yes	433.2993519
R5P068	5	2	115	2	1	No	881.7184241
R5P069	5	2	124	4	1	No	842.327574
R5P070	5	2	112	1	1	No	671.6338899
R5P071	5	2	108	1	1	No	483.0352739
R5P072	5	2	5	1	1	No	661.2888181
R5P073	5	2	117	2	2	Yes	873.7606766
R5P074	5	2	109	1	1	No	786.6233414
R5P075	5	2	126	4	2	Yes	1000.288862
R5P076	5	2	113	1	1	No	1504.810054
R6P001	6	2	153	4	3	Yes	377.197232
R6P002	6	2	140	1	1	Yes	74.40493922
R6P003	6	2	10	1	1	No	226.3979167
R6P004	6	2	141	1	1	Yes	126.5281854
R6P005	6	2	137	1	1	No	496.5634446
R6P008	6	1	10	1	1	No	158.7570628
R6P009	6	1	159	12	3	Yes	474.2817516
R6P010	6	1	159	12	3	Yes	561.4190869
R6P011	6	1	141	1	1	Yes	116.1831137
R6P012	6	1	144	2	1	No	399.0810376
R6P013	6	1	153	4	3	Yes	438.8697752
R6P014	6	1	143	1	1	No	192.5774898
R6P015	6	1	148	2	1	No	366.8521602
R6P017	6	1	158	8	3	Yes	284.4894735
R6P018	6	1	156	8	3	Yes	318.7077878
R6P019	6	2	149	2	1	Yes	112.6021273
R6P020	6	2	152	4	2	No	331.0422964
R6P021	6	2	6	1	1	Yes	110.6126904
R6P023	6	2	159	12	3	Yes	249.8732718
R6P024	6	2	158	8	3	Yes	285.6831356
R6P025	6	2	156	8	3	Yes	216.0528449
R6P026	6	2	155	4	3	Yes	177.4577695
R6P027	6	2	151	4	2	Yes	33.42253954
R6P028	6	2	146	2	2	Yes	44.16549868
R6P029	6	2	145	2	2	Yes	163.133824
R6P030	6	2	113	1	1	No	177.0598821
R6P031	6	1	151	4	2	Yes	128.5176223
R6P032	6	1	145	2	2	Yes	233.5598894
R6P033	6	1	137	1	1	No	368.4437097
R6P034	6	1	147	2	2	No	124.1408612
R6P035	6	1	7	1	1	Yes	121.7535369
R6P036	6	1	3	1	1	No	290.4577841
R6P037	6	1	155	4	3	Yes	101.8591681
R6P038	6	1	152	4	2	No	419.7711812
R6P040	6	1	142	1	1	No	156.3697386
R6P041	6	1	139	1	1	No	126.5281854
R6P043	6	2	154	4	3	Yes	190.9859402
R6P044	6	2	148	2	1	No	120.9577622
R6P045	6	2	157	8	3	Yes	325.4718732
R6P046	6	2	139	1	1	No	230.7746778
R6P047	6	2	147	2	2	No	119.3662127
R6P048	6	2	3	1	1	No	177.4577695
R6P051	6	2	144	2	1	No	377.5951194
R6P052	6	2	146	2	2	Yes	58.4894442
R6P053	6	2	138	1	1	No	430.9120277
R6P054	6	2	159	12	3	Yes	298.0176443
R6P056	6	1	154	4	3	Yes	242.3134117
R6P057	6	1	140	1	1	Yes	217.6443944
R6P058	6	1	149	2	1	Yes	138.8626941
R6P059	6	1	113	1	1	No	127.3239602
R6P060	6	1	138	1	1	No	322.6866615
R6P062	6	1	150	4	2	Yes	219.6338313
R6P063	6	1	6	1	1	Yes	98.27818175
R6P066	6	1	157	8	3	Yes	370.4331466
R6P067	6	2	143	1	1	No	168.7042472
R6P068	6	2	7	1	1	Yes	81.16902461
R6P069	6	2	142	1	1	No	62.86620533
R6P072	6	2	150	4	2	Yes	258.6267941
S7P001	7	1	108	1	1	No	437.6761131
S7P002	7	1	167	2	2	Yes	735.29587
S7P003	7	1	161	1	1	No	279.714825
S7P004	7	1	139	1	1	No	650.9437463
S7P005	7	1	176	8	3	Yes	1154.669164
S7P006	7	1	109	1	1	No	689.1409344
S7P007	7	1	165	2	2	No	511.2852775
S7P008	7	1	164	2	1	No	438.0740004
S7P009	7	1	172	4	3	Yes	767.9226347
S7P010	7	1	160	1	1	No	297.6197569
S7P011	7	1	169	4	3	Yes	914.7430763
S7P012	7	1	177	12	3	Yes	575.345145
S7P013	7	1	168	2	2	Yes	1079.46845
S7P014	7	1	1	1	1	No	479.0564001
S7P015	7	1	171	4	3	Yes	1003.471961
S7P016	7	1	163	1	1	No	985.5670292
S7P017	7	1	141	1	1	Yes	1096.975494
S7P018	7	1	111	1	1	No	387.5423038
S7P019	7	1	174	8	3	Yes	980.3944933
S7P020	7	1	7	1	1	Yes	870.1796903
S7P021	7	1	162	1	1	No	101.4612808
S7P022	7	1	173	8	3	Yes	1147.905078
S7P023	7	1	177	12	3	Yes	1099.760706
S7P024	7	1	9	1	1	No	1643.672748
S7P025	7	1	170	4	3	Yes	811.6902461
S7P026	7	1	175	8	3	Yes	1255.732557
S7P027	7	1	166	2	2	No	682.7747364
S7P028	7	2	175	8	3	Yes	1220.320581
S7P029	7	2	162	1	1	No	139.2605814
S7P030	7	2	168	2	2	Yes	1325.760735
S7P031	7	2	171	4	3	Yes	720.9719244
S7P032	7	2	166	2	2	No	526.8028852
S7P033	7	2	1	1	1	No	672.0317772
S7P034	7	2	177	12	3	Yes	953.3381517
S7P035	7	2	160	1	1	No	173.8767831
S7P036	7	2	169	4	3	Yes	705.0564294
S7P037	7	2	172	4	3	Yes	629.4578281
S7P038	7	2	111	1	1	No	459.5599187
S7P039	7	2	177	12	3	Yes	941.0036431
S7P040	7	2	173	8	3	Yes	916.7325132
S7P041	7	2	109	1	1	No	791.3979899
S7P042	7	2	170	4	3	Yes	1131.989583
S7P043	7	2	163	1	1	No	646.1690978
S7P044	7	2	176	8	3	Yes	1341.67623
S7P045	7	2	7	1	1	Yes	1359.581162
S7P046	7	2	164	2	1	No	515.2641513
S7P047	7	2	108	1	1	No	611.5528962
S7P048	7	2	9	1	1	No	1283.186786
S7P049	7	2	161	1	1	No	545.1057045
S7P050	7	2	165	2	2	No	751.211365
S7P051	7	2	174	8	3	Yes	890.074059
S7P052	7	2	167	2	2	Yes	1120.450849
S7P053	7	2	141	1	1	Yes	1496.852307
S7P054	7	2	139	1	1	No	888.4825095
S8P001	8	1	187	4	2	No	842.4020602
S8P002	8	1	191	8	1	No	1717.754164
S8P003	8	1	4	1	1	No	1247.749767
S8P005	8	1	113	1	1	No	1080.512753
S8P006	8	1	179	1	1	No	1028.911741
S8P007	8	1	143	1	1	No	1437.367943
S8P008	8	1	189	4	3	Yes	1632.58141
S8P009	8	1	141	1	1	Yes	940.0087933
S8P010	8	1	197	11	2	No	830.5897804
S8P011	8	1	188	4	2	Yes	1348.464995
S8P012	8	1	181	2	1	No	624.1857331
S8P013	8	1	185	4	1	No	784.584059
S8P014	8	1	183	2	2	Yes	1611.443646
S8P015	8	1	190	4	3	Yes	744.1736281
S8P017	8	1	198	11	2	Yes	1248.371466
S8P018	8	1	2	1	1	No	1814.117499
S8P020	8	1	16	2	2	No	1921.049717
S8P022	8	1	5	1	1	No	695.059412
S8P023	8	1	182	2	2	Yes	915.7625348
S8P025	8	1	196	11	1	No	1105.380711
S8P026	8	1	108	1	1	No	900.8417603
S8P027	8	1	180	2	1	No	1309.297962
S8P028	8	1	200	11	3	Yes	981.0409232
S8P029	8	1	199	11	3	Yes	873.487007
S8P031	8	1	192	8	2	No	1798.575026
S8P032	8	1	178	1	1	No	404.1043093
S8P033	8	1	194	8	3	Yes	1434.881148
S8P034	8	1	184	2	2	No	1827.173177
S8P036	8	1	7	1	1	Yes	516.010118
S8P037	8	1	186	4	1	No	1025.803247
S8P038	8	1	9	1	1	No	1500.159536
S8P039	8	1	193	8	2	Yes	696.3028099
S8P040	8	1	195	8	3	Yes	2634.138398
S8P042	8	2	186	4	1	No	1448.558524
S8P043	8	2	198	11	2	Yes	1702.83339
S8P044	8	2	7	1	1	Yes	934.4135029
S8P045	8	2	5	1	1	No	491.7638595
S8P046	8	2	187	4	2	No	470.6260956
S8P047	8	2	194	8	3	Yes	2396.027705
S8P048	8	2	184	2	2	No	1179.984583
S8P050	8	2	192	8	2	No	974.8239338
S8P051	8	2	141	1	1	Yes	391.0486316
S8P052	8	2	113	1	1	No	882.8124911
S8P053	8	2	9	1	1	No	1313.649855
S8P055	8	2	200	11	3	Yes	3841.477734
S8P056	8	2	178	1	1	No	466.274203
S8P059	8	2	143	1	1	No	1661.179561
S8P060	8	2	195	8	3	Yes	1288.781897
S8P061	8	2	182	2	2	Yes	2728.636636
S8P062	8	2	197	11	2	No	2458.819297
S8P063	8	2	185	4	1	No	1570.411516
S8P064	8	2	16	2	2	No	1676.100335
S8P065	8	2	2	1	1	No	1002.178687
S8P066	8	2	191	8	1	No	692.5726163
S8P068	8	2	179	1	1	No	529.6874947
S8P069	8	2	181	2	1	No	1576.628505
S8P070	8	2	183	2	2	Yes	844.8888559
S8P071	8	2	188	4	2	Yes	882.8124911
S8P072	8	2	199	11	3	Yes	1650.610679
S8P073	8	2	189	4	3	Yes	1137.087356
S8P074	8	2	108	1	1	No	1487.103858
S8P075	8	2	196	11	1	No	530.3091936
S8P076	8	2	193	8	2	Yes	1533.731279
S8P077	8	2	4	1	1	No	1689.156013
S8P078	8	2	190	4	3	Yes	2751.639497
S8P079	8	2	180	2	1	No	1074.295764
