"Cibola Survey, 2012",,,,,diamater at 30 cm (cm),
Block,Survey Date,Individual Genotype,Treatment,Number of Genotypes,Trunk 1 diameter (cm),trunk 2 diameter (cm)
4,41028,B161,B161,1,dead,
4,41028,PNWR,PNWR,1,25.62,
4,41028,OV,OV,1,dead,
4,41028,B161,B161,1,dead,
4,41028,B161,B161,1,dead,
4,41028,B161,B161,1,10.9,
4,41028,CW,CW,1,24,
4,41028,CW,CW,1,dead,
4,41028,BD,BD,1,14.89,
4,41028,FC,FC,1,28.9,
4,41028,FC,FC,1,9.1,
4,41028,FC,FC,1,25.75,
4,41028,HNWR,2,2,28.55,
4,41028,FR,2,2,12.25,
4,41028,BD,BD,1,27.46,
4,41028,BD,BD,1,23.65,
4,41028,FC,FC,1,15.5,
4,41028,FC,FC,1,24.34,
4,41028,FC,FC,1,19,
4,41028,HNWR,2,2,27.64,
4,41028,FC,FC,1,23.93,
4,41028,FC,FC,1,20.89,
4,41028,HNWR,2,2,25.1,
4,41028,FR,2,2,11.2,
4,41028,HNWR,2,2,26.8,
4,41028,FC,FC,1,27.69,
4,41028,FC,FC,1,21,
4,41028,FC,FC,1,23.2,
4,41028,FC,FC,1,19.6,
4,41028,HNWR,2,2,28.19,
4,41028,FR,2,2,8.5,
4,41028,FR,2,2,dead,
4,41028,FR,2,2,dead,
4,41028,HP,HP,1,23.46,
4,41028,HP,HP,1,20.07,
4,41028,CW,CW,1,25.9,
4,41028,HP,HP,1,24.34,
4,41028,HP,HP,1,22.81,
4,41028,HP,HP,1,10.5,
4,41028,HP,HP,1,26.6,
4,41028,HP,HP,1,20.58,
4,41028,MC,MC,1,dead,
4,41028,HP,HP,1,23.85,
4,41028,HP,HP,1,29.89,
4,41028,HP,HP,1,27,
4,41028,HP,HP,1,32.66,
4,41028,CNWR,CNWR,1,29.91,
4,41028,HNWR,HNWR,1,16.99,
4,41028,OR,OR,1,dead,
4,41028,HNWR,HNWR,1,36.2,
4,41028,HNWR,HNWR,1,dead,
4,41028,OR,OR,1,3.2,
4,41028,SP,SP,1,28.53,
4,41028,SP,SP,1,25,
4,41028,HNWR,HNWR,1,19.55,
4,41028,SP,SP,1,24,
4,41028,SP,SP,1,28.5,
4,41028,HNWR,HNWR,1,28.7,
4,41028,SP,SP,1,no data,
5,41028,MC,MC,1,21.2,
5,41028,PNWR,PNWR,1,9.3,
5,41028,PNWR,PNWR,1,dead,
5,41028,PNWR,PNWR,1,25.5,
5,41028,OR,OR,1,27.3,
5,41028,OR,OR,1,11.4,
5,41028,PNWR,PNWR,1,38.9,30.7
5,41028,OR,OR,1,13.8,
5,41028,OR,OR,1,14.8,
5,41028,SP,SP,1,26.5,
5,41028,FC,FC,1,22,
5,41028,FC,FC,1,25.9,
5,41028,SP,SP,1,11,
5,41028,OV,OV,1,6.1,
5,41028,FC,FC,1,39.2,
5,41028,FC,FC,1,28.6,
5,41028,MC,8,8,34.5,
5,41028,SP,SP,1,21,
5,41028,OV,OV,1,15,
5,41028,FC,FC,1,32,
5,41028,SP,8,8,15.9,
5,41028,FC,FC,1,32.7,
5,41028,FC,FC,1,31.9,
5,41028,FC,FC,1,34.3,
5,41028,HNWR,HNWR,1,27.9,
5,41028,HNWR,HNWR,1,27.7,
5,41028,HNWR,HNWR,1,32.2,
5,41028,OV,16,16,19.8,
5,41028,BD,BD,1,30.8,
5,41028,OR,OR,1,16.5,
5,41028,OR,OR,1,26.5,
5,41028,CNWR,CNWR,1,36,
5,41028,CNWR,CNWR,1,25.5,
5,41028,HP,HP,1,29.5,
5,41028,BD,BD,1,25.7,
5,41028,OR,OR,1,38.5,
5,41028,CNWR,CNWR,1,28,
5,41028,HP,HP,1,3.4,
5,41028,CNWR,CNWR,1,27.7,
5,41028,BD,BD,1,29.7,
5,41028,BD,BD,1,31.4,
5,41028,OR,OR,1,5.7,
5,41028,FR,4,4,16.1,
5,41028,CW,4,4,24.5,
