"Cibola Survey, 2012",,,,,diamater at 30 cm (cm),
Block,Survey Date,Individual Genotype,Treatment,Number of Genotypes,Trunk 1 diameter (cm),trunk 2 diameter (cm)
17,,HP,HP,1,11.8,
17,,HP,HP,1,16,
17,,FC,FC,1,8.25,
17,,FC,FC,1,5.9,
17,,FC,FC,1,15.5,
17,,B161,B161,1,5.5,
17,,B161,B161,1,31,
17,,HP,HP,1,10.9,
17,,HP,HP,1,17,
17,,FC,FC,1,8.3,
17,,FC,FC,1,16.5,
17,,FC,FC,1,7.5,
17,,B161,B161,1,DEAD,
17,,B161,B161,1,DEAD,
17,,B161,B161,1,6.5,
17,,HP,HP,1,18.5,
17,,HP,HP,1,19.5,
17,,FC,FC,1,DEAD,
17,,FC,FC,1,DEAD,
17,,B161,B161,1,DEAD,
17,,B161,B161,1,1.8,
17,,HP,HP,1,12.5,
17,,HP,HP,1,10.2,
17,,FC,FC,1,15.6,
17,,FC,2,2,5.4,
17,,B161,B161,1,14,
18,,OR,4,4,DEAD,
18,,CW,CW,1,18.1,
18,,CW,CW,1,10.4,
18,,CW,CW,1,18,
18,,PNWR,4,4,12.7,
18,,CW,CW,1,15.1,
18,,CW,CW,1,8.3,
18,,CW,CW,1,15.6,
18,,OR,OR,1,DEAD,
18,,MC,16,16,15.3,
18,,SP,16,16,17.4,
18,,CW,16,16,27.3,
18,,PNWR,4,4,18.3,
18,,PNWR,4,4,13.1,
18,,CW,CW,1,12.1,
18,,CW,CW,1,17.1,
18,,OR,OR,1,9,
18,,HP,16,16,21.1,
18,,NCC,16,16,DEAD,
18,,FC,16,16,23.7,
18,,OR,4,4,0.9,
18,,CW,CW,1,16.5,
18,,CW,CW,1,5.4,
18,,OR,OR,1,DEAD,
18,,OR,OR,1,4.5,
18,,OR,OR,1,5.1,3.4
18,,OR,16,16,DEAD,
18,,HNWR,16,16,23.7,
18,,CNWR,16,16,18.4,
18,,HP,HP,1,25.7,
18,,OV,OV,1,7.4,
18,,OV,OV,1,6.7,
18,,PNWR,PNWR,1,17.7,
18,,PNWR,PNWR,1,11.2,
18,,PNWR,PNWR,1,21.1,
18,,PNWR,PNWR,1,13.6,
18,,OV,OV,1,3.5,
18,,PNWR,PNWR,1,12,
18,,GR,GR,1,DEAD,
18,,CNWR,CNWR,1,20.7,
18,,CNWR,CNWR,1,17.7,
18,,CNWR,CNWR,1,DEAD,
18,,HNWR,HNWR,1,22.7,
18,,BD,BD,1,17.9,
18,,FR,FR,1,12.1,
18,,HNWR,HNWR,1,24.2,
18,,HNWR,HNWR,1,20.5,
18,,HNWR,HNWR,1,21.7,
18,,BD,BD,1,14.7,
18,,FR,FR,1,6.4,
18,,FR,FR,1,11.3,
18,,HNWR,HNWR,1,14.8,
18,,BD,BD,1,17.3,
18,,BD,BD,1,7.8,
18,,FR,FR,1,8.9,
18,,FR,FR,1,10.5,
18,,HNWR,HNWR,1,22.4,
18,,MC,MC,1,15.4,
18,,MC,MC,1,9.9,
18,,CW,4,4,24,
18,,FC,4,4,26.3,
18,,FC,FC,1,22.1,
18,,FC,FC,1,3.9,
18,,MC,MC,1,12.6,
18,,CW,4,4,19.2,11.7
18,,HP,4,4,35,
18,,PNWR,2,2,13.8,
19,,PNWR,PNWR,1,13.9,
19,,FC,16,16,25.4,
19,,HNWR,16,16,17.4,
19,,MC,2,2,10.8,
19,,PNWR,PNWR,1,7.5,
19,,PNWR,PNWR,1,12.8,
19,,PNWR,PNWR,1,14.3,
19,,PNWR,PNWR,1,4.1,
19,,BD,16,16,8.8,
19,,OR,16,16,6.1,
19,,OR,2,2,10.3,
19,,PNWR,PNWR,1,19.9,
19,,PNWR,PNWR,1,8.9,
19,,OR,16,16,8.4,
19,,KT,16,16,DEAD,
19,,SP,16,16,14,
19,,OR,2,2,10.17,
19,,PNWR,PNWR,1,14.8,
19,,PNWR,PNWR,1,5.8,
19,,FR,16,16,8.4,
19,,OR,2,2,7.1,
19,,OR,2,2,11.5,
19,,OR,2,2,8.3,
19,,CNWR,CNWR,1,18.2,
19,,CNWR,CNWR,1,8.3,
19,,CNWR,CNWR,1,10.5,
19,,CW,CW,1,20.4,
19,,CW,CW,1,20.1,
19,,HNWR,HNWR,1,21.9,
19,,HNWR,HNWR,1,24.3,
19,,HNWR,HNWR,1,11.2,
19,,CNWR,CNWR,1,18.4,
19,,CNWR,CNWR,1,13.3,
19,,CW,CW,1,19.5,
19,,CW,CW,1,12,
19,,HNWR,HNWR,1,11.8,
19,,HNWR,HNWR,1,17.8,
19,,HNWR,HNWR,1,19.5,
19,,HNWR,HNWR,1,13.8,
19,,CNWR,CNWR,1,17,
19,,CNWR,CNWR,1,15.9,
19,,CW,CW,1,17.8,16
19,,CW,CW,1,21.4,
19,,CW,CW,1,14,
19,,HNWR,HNWR,1,22.4,
19,,HNWR,HNWR,1,24,
19,,CNWR,CNWR,1,DEAD,
19,,CNWR,CNWR,1,9.4,
19,,CW,CW,1,5,
19,,HNWR,HNWR,1,18,
19,,HNWR,HNWR,1,19.8,
19,,HNWR,HNWR,1,22.5,
19,,BD,BD,1,9.2,
19,,FC,FC,1,15.3,
19,,FC,FC,1,19.4,
19,,FC,FC,1,20.4,
19,,OR,OR,1,5.4,
19,,OR,OR,1,7.1,
19,,FC,FC,1,13.3,
19,,FC,FC,1,16.5,
19,,OR,OR,1,8.8,
19,,BD,BD,1,DEAD,
19,,FC,FC,1,17.3,
19,,FC,FC,1,18.8,
19,,OR,OR,1,8.5,
19,,OR,OR,1,7.2,
19,,FC,FC,1,17.3,
19,,FC,FC,1,17.1,
19,,FC,FC,1,22.8,
19,,FC,FC,1,22.6,
19,,OR,OR,1,7,
19,,HP,HP,1,23.1,
19,,HP,HP,1,22,
19,,FC,FC,1,26.9,
19,,HP,HP,1,33.5,
19,,B161,B161,1,6,
19,,B161,B161,1,25,
19,,BD,BD,1,9,
19,,HP,HP,1,33,
19,,B161,B161,1,8.2,
19,,B161,B161,1,DEAD,
19,,SP,SP,1,18.2,
19,,SP,SP,1,18.5,
19,,GR,GR,1,18.9,
19,,HNWR,8,8,21.8,
19,,SP,SP,1,17.6,
19,,OR,OR,1,33.3,
19,,FC,8,8,25.5,
19,,BD,8,8,8.4,4.8
19,,MC,MC,1,18.4,
19,,GR,GR,1,17,
19,,HP,8,8,21.8,
19,,B161,8,8,7,
19,,SP,SP,1,15.3,
19,,MC,8,8,7.6,
19,,HNWR,8,8,23.2,
19,,MC,8,8,7.8,
20,,OV,OV,1,10.4,
20,,HNWR,HNWR,1,28.3,
20,,HNWR,HNWR,1,23,
20,,HNWR,HNWR,1,21.7,
20,,HNWR,HNWR,1,24.1,
20,,SP,SP,1,9.8,
20,,SP,SP,1,18.6,
20,,SP,SP,1,25.4,
20,,OV,OV,1,8.6,
20,,OV,OV,1,5,
20,,HNWR,HNWR,1,25.9,
20,,HNWR,HNWR,1,17.2,
20,,HNWR,HNWR,1,19.4,
20,,HNWR,HNWR,1,19.7,
20,,SP,SP,1,11.6,
20,,SP,SP,1,24.2,
20,,PNWR,16,16,19.7,
20,,CNWR,16,16,21.2,
20,,OV,OV,1,4.3,
20,,OV,OV,1,10.7,
20,,OV,OV,1,9.1,
20,,HNWR,HNWR,1,22.1,
20,,HNWR,HNWR,1,20.5,
20,,SP,SP,1,13,
20,,SP,SP,1,16.5,
20,,HNWR,16,16,28.5,
20,,CW,16,16,24.6,
20,,SP,16,16,20.7,
20,,OV,OV,1,7.1,
20,,OV,OV,1,5.7,
20,,OV,OV,1,DEAD,
20,,HNWR,HNWR,1,22.8,
20,,HNWR,HNWR,1,16.9,
20,,SP,SP,1,22.4,
20,,SP,SP,1,DEAD,
20,,NCC,16,16,4.8,
20,,OR,OR,1,5.3,
20,,BD,BD,1,9.3,
20,,BD,BD,1,12.2,
20,,CW,CW,1,17,
20,,CW,CW,1,DEAD,
20,,CW,CW,1,27.5,
20,,OR,OR,1,8.4,
20,,OR,OR,1,7.1,
20,,OR,OR,1,9.4,
20,,OR,OR,1,DEAD,
20,,BD,BD,1,4.5,
20,,BD,BD,1,11.5,
20,,BD,BD,1,13.9,
20,,BD,BD,1,11.5,
20,,CW,CW,1,21.4,
20,,CW,CW,1,19.2,
20,,CW,CW,1,23.2,
20,,OR,OR,1,6.8,
20,,OR,OR,1,10.1,
20,,OR,OR,1,7.2,
20,,BD,BD,1,9,
20,,BD,BD,1,8.9,
20,,BD,BD,1,17.3,
20,,BD,BD,1,6.2,
20,,CW,CW,1,24.1,
20,,OR,OR,1,2.5,
20,,OR,OR,1,8.7,
20,,OR,OR,1,DEAD,
20,,BD,BD,1,13.4,
20,,BD,BD,1,DEAD,
20,,BD,BD,1,10.3,
20,,BD,BD,1,9.6,
20,,CW,CW,1,27.3,
20,,CW,CW,1,27.8,
20,,MC,MC,1,15.5,
20,,MC,MC,1,17.9,
20,,MC,MC,1,22.9,
20,,MC,MC,1,7.6,
20,,OR,4,4,2,
20,,B161,B161,1,6.4,
20,,MC,MC,1,21.4,
20,,MC,MC,1,17.6,
20,,MC,MC,1,17.4,
20,,OV,4,4,3.8,
20,,OV,4,4,4,
20,,OR,4,4,DEAD,
20,,MC,MC,1,18.2,
20,,MC,MC,1,18.9,
20,,MC,MC,1,21.7,
20,,CW,4,4,21.8,
20,,CW,4,4,25.4,
20,,B161,B161,1,7.5,
20,,B161,B161,1,2.1,
20,,MC,MC,1,8.6,
20,,MC,MC,1,10.2,
20,,MC,MC,1,9.8,
20,,MC,MC,1,9.9,
20,,CW,4,4,19.5,
20,,PNWR,4,4,15.9,
20,,CW,4,4,23.8,
20,,FC,FC,1,17.3,
20,,FC,FC,1,15.6,
20,,FC,FC,1,17.5,
20,,BD,8,8,15.1,
20,,CNWR,8,8,21.6,
20,,SP,8,8,25.9,
20,,B161,8,8,2.8,
20,,PNWR,PNWR,1,17.8,
20,,PNWR,PNWR,1,18.8,
20,,PNWR,PNWR,1,22.3,
20,,FC,FC,1,14.3,
20,,FC,FC,1,12.5,
20,,FC,FC,1,22.9,
20,,FC,8,8,19.2,
20,,CW,8,8,20.3,
20,,FC,8,8,4.5,
20,,PNWR,PNWR,1,17.6,
20,,FC,FC,1,16,
20,,FC,FC,1,24.9,
20,,FC,FC,1,31.3,
20,,FC,FC,1,15.3,
20,,SP,8,8,13.7,
20,,PNWR,PNWR,1,21.8,
20,,PNWR,PNWR,1,19.3,
20,,PNWR,PNWR,1,33.3,
20,,FC,FC,1,15.2,
20,,FC,FC,1,13.6,
20,,FC,FC,1,18.1,
20,,FR,2,2,6.5,
20,,GR,8,8,3.2,
20,,PNWR,PNWR,1,DEAD,
20,,GR,GR,1,DEAD,
20,,NCC,NCC,1,2.3,
20,,NCC,NCC,1,DEAD,
20,,CNWR,CNWR,1,17.8,
20,,CNWR,CNWR,1,11.8,
20,,FR,FR,1,8.3,
20,,FR,FR,1,13.9,
20,,GR,GR,1,17.4,
20,,NCC,NCC,1,DEAD,
20,,NCC,NCC,1,1.8,
20,,CNWR,CNWR,1,14,
20,,FR,FR,1,15.6,
20,,FR,FR,1,12.4,
20,,FR,FR,1,13.3,
20,,GR,GR,1,17.4,
20,,GR,GR,1,9.9,
20,,GR,GR,1,16.8,
20,,NCC,NCC,1,6.9,
20,,NCC,NCC,1,3.4,
20,,NCC,NCC,1,1.8,
20,,GR,GR,1,15.7,
20,,GR,GR,1,17.2,
20,,NCC,NCC,1,3.4,
20,,CNWR,CNWR,1,20,
20,,FR,FR,1,10.4,
